objective,highestpossible,yettowin,homedraws,highestprobable,artificialkey,hasachievedobjective,unbeatenhome,previousyeartableposition,actualvsexpectations,teamlongform,prevleagueid,awaylosses,nummatchesplayed,awaygf,unbeatenleague,lastgameresult,homega,points,leagueid,unbeatenallcomps,currenttableposition,homegf,teamshortform,teamid,homelosses,homewins,grouping,awaywins,awayga,unbeatenaway,awaydraws,champion,teamform
0,0,0,0,0,28,0,0,3,0,0,10,0,0,0,0,1,0,0,10,0,5,0,0,245,0,0,10,0,0,0,0,0,0
0,0,0,0,0,29,0,0,1,0,0,10,0,0,0,0,0,0,0,10,0,2,0,0,246,0,0,10,0,0,0,0,1,0
0,0,0,0,0,30,0,0,2,0,0,10,0,0,0,0,0,0,0,10,0,1,0,0,247,0,0,0,0,0,0,0,0,0
0,0,0,0,0,31,0,0,13,0,0,10,0,0,0,0,2,0,0,10,0,11,0,0,634,0,0,3,0,0,0,0,0,0
0,0,0,0,0,32,0,0,14,0,0,10,0,0,0,0,2,0,0,10,0,16,0,0,645,0,0,3,0,0,0,0,0,0
0,0,0,0,0,33,0,0,7,0,0,10,0,0,0,0,0,0,0,10,0,6,0,0,1903,0,0,3,0,0,0,0,0,0
0,0,0,0,0,34,0,0,18,0,0,10,0,0,0,0,1,0,0,10,0,17,0,0,1904,0,0,4,0,0,0,0,0,0
0,0,0,0,0,35,0,0,4,0,0,10,0,0,0,0,1,0,0,10,0,7,0,0,1906,0,0,8,0,0,0,0,0,0
0,0,0,0,0,36,0,0,5,0,0,10,0,0,0,0,2,0,0,10,0,4,0,0,1908,0,0,8,0,0,0,0,0,0
0,0,0,0,0,37,0,0,12,0,0,10,0,0,0,0,0,0,0,10,0,3,0,0,1910,0,0,10,0,0,0,0,0,0
0,0,0,0,0,38,0,0,8,0,0,10,0,0,0,0,1,0,0,10,0,8,0,0,1913,0,0,3,0,0,0,0,0,0
0,0,0,0,0,39,0,0,17,0,0,10,0,0,0,0,2,0,0,10,0,15,0,0,1914,0,0,3,0,0,0,0,0,0
0,0,0,0,0,40,0,0,12,0,0,10,0,0,0,0,0,0,0,10,0,9,0,0,1915,0,0,8,0,0,0,0,0,0
0,0,0,0,0,41,0,0,15,0,0,10,0,0,0,0,0,0,0,10,0,13,0,0,1971,0,0,3,0,0,0,0,0,0
0,0,0,0,0,42,0,0,11,0,0,10,0,0,0,0,2,0,0,10,0,12,0,0,100632,0,0,3,0,0,0,0,0,0
0,0,0,0,0,43,0,0,16,0,0,10,0,0,0,0,2,0,0,10,0,18,0,0,100634,0,0,4,0,0,0,0,0,0
0,0,0,0,0,44,0,0,19,0,0,10,0,0,0,0,0,0,0,10,0,14,0,0,100638,0,0,5,0,0,0,0,0,0
0,0,0,0,0,45,0,0,6,0,0,10,0,0,0,0,2,0,0,10,0,10,0,0,100646,0,0,8,0,0,0,0,0,0
0,0,0,0,0,46,0,0,2,0,0,13,0,0,0,0,0,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,47,0,0,7,0,0,13,0,0,0,0,0,0,0,13,0,4,0,0,2,0,0,1,0,0,0,0,0,0
0,0,0,0,0,48,0,0,12,0,0,13,0,0,0,0,2,0,0,13,0,10,0,0,5,0,0,2,0,0,0,0,0,0
0,0,0,0,0,49,0,0,17,0,0,13,0,0,0,0,2,0,0,13,0,13,0,0,7,0,0,3,0,0,0,0,0,0
0,0,0,0,0,50,0,0,18,0,0,14,0,0,0,0,2,0,0,13,0,14,0,0,8,0,0,5,0,0,0,0,1,0
0,0,0,0,0,51,0,0,5,0,0,13,0,0,0,0,1,0,0,13,0,5,0,0,9,0,0,3,0,0,0,0,1,0
0,0,0,0,0,52,0,0,1,0,0,13,0,0,0,0,2,0,0,13,0,2,0,0,10,0,0,1,0,0,0,0,0,0
0,0,0,0,0,53,0,0,3,0,0,13,0,0,0,0,0,0,0,13,0,3,0,0,11,0,0,1,0,0,0,0,0,0
0,0,0,0,0,54,0,0,4,0,0,13,0,0,0,0,2,0,0,13,0,12,0,0,13,0,0,3,0,0,0,0,0,0
0,0,0,0,0,55,0,0,16,0,0,13,0,0,0,0,1,0,0,13,0,16,0,0,14,0,0,5,0,0,0,0,0,0
0,0,0,0,0,56,0,0,8,0,0,13,0,0,0,0,0,0,0,13,0,17,0,0,18,0,0,3,0,0,0,0,0,0
0,0,0,0,0,57,0,0,14,0,0,13,0,0,0,0,0,0,0,13,0,18,0,0,19,0,0,4,0,0,0,0,0,0
0,0,0,0,0,58,0,0,6,0,0,14,0,0,0,0,0,0,0,13,0,7,0,0,106,0,0,3,0,0,0,0,0,0
0,0,0,0,0,59,0,0,13,0,0,13,0,0,0,0,1,0,0,13,0,20,0,0,110,0,0,4,0,0,0,0,0,0
0,0,0,0,0,60,0,0,10,0,0,13,0,0,0,0,0,0,0,13,0,11,0,0,144,0,0,3,0,0,0,0,0,0
0,0,0,0,0,61,0,0,1,0,0,14,0,0,0,0,1,0,0,13,0,19,0,0,1796,0,0,4,0,0,0,0,0,0
0,0,0,0,0,62,0,0,11,0,0,13,0,0,0,0,2,0,0,13,0,15,0,0,1799,0,0,5,0,0,0,0,0,0
0,0,0,0,0,63,0,0,6,0,0,13,0,0,0,0,2,0,0,13,0,8,0,0,1808,0,0,3,0,0,0,0,0,0
0,0,0,0,0,64,0,0,9,0,0,13,0,0,0,0,1,0,0,13,0,9,0,0,1925,0,0,3,0,0,0,0,0,0
0,0,0,0,0,65,0,0,15,0,0,13,0,0,0,0,1,0,0,76,0,6,0,0,1943,0,0,3,0,0,0,0,0,0
0,0,0,0,0,66,0,0,7,0,0,14,0,0,0,0,2,0,0,14,0,20,0,0,3,0,0,4,0,0,0,0,0,0
0,0,0,0,0,67,0,0,4,0,0,14,0,0,0,0,1,0,0,14,0,5,0,0,12,0,0,6,0,0,0,0,0,0
0,0,0,0,0,68,0,0,20,0,0,14,0,0,0,0,2,0,0,14,0,15,0,0,15,0,0,3,0,0,0,0,0,0
0,0,0,0,0,69,0,0,20,0,0,13,0,0,0,0,0,0,0,14,0,4,0,0,17,0,0,3,0,0,0,0,0,0
0,0,0,0,0,70,0,0,17,0,0,60,0,0,0,0,1,0,0,14,0,10,0,0,88,0,0,3,0,0,0,0,1,0
0,0,0,0,0,71,0,0,10,0,0,60,0,0,0,0,2,0,0,14,0,19,0,0,89,0,0,5,0,0,0,0,0,0
0,0,0,0,0,72,0,0,7,0,0,14,0,0,0,0,2,0,0,14,0,8,0,0,91,0,0,8,0,0,0,0,0,0
0,0,0,0,0,73,0,0,2,0,0,13,0,0,0,0,0,0,0,14,0,2,0,0,94,0,0,7,0,0,0,0,0,0
0,0,0,0,0,74,0,0,19,0,0,13,0,0,0,0,0,0,0,14,0,23,0,0,95,0,0,3,0,0,0,0,0,0
0,0,0,0,0,75,0,0,8,0,0,14,0,0,0,0,0,0,0,14,0,3,0,0,97,0,0,7,0,0,0,0,0,0
0,0,0,0,0,76,0,0,9,0,0,14,0,0,0,0,2,0,0,14,0,21,0,0,109,0,0,5,0,0,0,0,0,0
0,0,0,0,0,77,0,0,8,0,0,14,0,0,0,0,1,0,0,14,0,18,0,0,1790,0,0,5,0,0,0,0,0,0
0,0,0,0,0,78,0,0,13,0,0,14,0,0,0,0,2,0,0,14,0,9,0,0,1792,0,0,5,0,0,0,0,0,0
0,0,0,0,0,79,0,0,2,0,0,14,0,0,0,0,0,0,0,14,0,13,0,0,1794,0,0,5,0,0,0,0,0,0
0,0,0,0,0,80,0,0,11,0,0,14,0,0,0,0,2,0,0,14,0,16,0,0,1795,0,0,3,0,0,0,0,0,0
0,0,0,0,0,81,0,0,5,0,0,14,0,0,0,0,0,0,0,14,0,1,0,0,1800,0,0,6,0,0,0,0,0,0
0,0,0,0,0,82,0,0,12,0,0,14,0,0,0,0,2,0,0,14,0,14,0,0,1801,0,0,8,0,0,0,0,0,0
0,0,0,0,0,83,0,0,16,0,0,14,0,0,0,0,2,0,0,14,0,17,0,0,1806,0,0,3,0,0,0,0,0,0
0,0,0,0,0,84,0,0,3,0,0,14,0,0,0,0,0,0,0,14,0,24,0,0,1807,0,0,4,0,0,0,0,0,0
0,0,0,0,0,85,0,0,14,0,0,14,0,0,0,0,0,0,0,14,0,12,0,0,1919,0,0,3,0,0,0,0,0,0
0,0,0,0,0,86,0,0,23,0,0,60,0,0,0,0,1,0,0,14,0,7,0,0,1947,0,0,7,0,0,0,0,0,0
0,0,0,0,0,87,0,0,19,0,0,14,0,0,0,0,2,0,0,14,0,22,0,0,1951,0,0,4,0,0,0,0,0,0
0,0,0,0,0,88,0,0,15,0,0,14,0,0,0,0,0,0,0,14,0,6,0,0,1952,0,0,7,0,0,0,0,0,0
0,0,0,0,0,89,0,0,10,0,0,14,0,0,0,0,0,0,0,14,0,11,0,0,1960,0,0,3,0,0,0,0,0,0
0,0,0,0,0,90,0,0,17,0,0,16,0,0,0,0,0,0,0,16,0,15,0,0,57,0,0,4,0,0,0,0,0,0
0,0,0,0,0,91,0,0,2,0,0,16,0,0,0,0,0,0,0,16,0,2,0,0,64,0,0,1,0,0,0,0,0,0
0,0,0,0,0,92,0,0,5,0,0,16,0,0,0,0,2,0,0,16,0,3,0,0,65,0,0,2,0,0,0,0,0,0
0,0,0,0,0,93,0,0,7,0,0,16,0,0,0,0,2,0,0,16,0,4,0,0,66,0,0,2,0,0,0,0,0,0
0,0,0,0,0,94,0,0,2,0,0,17,0,0,0,0,1,0,0,16,0,18,0,0,68,0,0,4,0,0,0,0,0,0
0,0,0,0,0,95,0,0,6,0,0,16,0,0,0,0,2,0,0,16,0,7,0,0,69,0,0,3,0,0,0,0,0,0
0,0,0,0,0,96,0,0,16,0,0,16,0,0,0,0,1,0,0,16,0,17,0,0,71,0,0,5,0,0,0,0,0,0
0,0,0,0,0,97,0,0,9,0,0,16,0,0,0,0,1,0,0,16,0,16,0,0,72,0,0,3,0,0,0,0,0,0
0,0,0,0,0,98,0,0,1,0,0,16,0,0,0,0,2,0,0,16,0,1,0,0,73,0,0,0,0,0,0,0,1,0
0,0,0,0,0,99,0,0,4,0,0,16,0,0,0,0,2,0,0,16,0,6,0,0,74,0,0,3,0,0,0,0,0,0
0,0,0,0,0,100,0,0,15,0,0,16,0,0,0,0,0,0,0,16,0,8,0,0,76,0,0,3,0,0,0,0,0,0
0,0,0,0,0,101,0,0,10,0,0,16,0,0,0,0,2,0,0,16,0,10,0,0,217,0,0,3,0,0,0,0,0,0
0,0,0,0,0,102,0,0,3,0,0,16,0,0,0,0,0,0,0,16,0,5,0,0,219,0,0,1,0,0,0,0,0,0
0,0,0,0,0,103,0,0,14,0,0,16,0,0,0,0,1,0,0,16,0,12,0,0,378,0,0,3,0,0,0,0,0,0
0,0,0,0,0,104,0,0,20,0,0,16,0,0,0,0,1,0,0,16,0,13,0,0,1530,0,0,3,0,0,0,0,0,0
0,0,0,0,0,105,0,0,1,0,0,17,0,0,0,0,0,0,0,16,0,14,0,0,1738,0,0,5,0,0,0,0,1,0
0,0,0,0,0,106,0,0,13,0,0,16,0,0,0,0,1,0,0,16,0,9,0,0,1809,0,0,3,0,0,0,0,0,0
0,0,0,0,0,107,0,0,7,0,0,17,0,0,0,0,0,0,0,16,0,11,0,0,111817,0,0,5,0,0,0,0,0,0
0,0,0,0,0,108,0,0,4,0,0,17,0,0,0,0,2,0,0,17,0,17,0,0,58,0,0,4,0,0,0,0,0,0
0,0,0,0,0,109,0,0,6,0,0,17,0,0,0,0,2,0,0,17,0,11,0,0,62,0,0,3,0,0,0,0,0,0
0,0,0,0,0,110,0,0,12,0,0,16,0,0,0,0,1,0,0,17,0,8,0,0,70,0,0,3,0,0,0,0,0,0
0,0,0,0,0,111,0,0,19,0,0,16,0,0,0,0,2,0,0,17,0,1,0,0,294,0,0,6,0,0,0,0,0,0
0,0,0,0,0,112,0,0,11,0,0,16,0,0,0,0,0,0,0,17,0,6,0,0,379,0,0,7,0,0,0,0,0,0
0,0,0,0,0,113,0,0,21,0,0,17,0,0,0,0,0,0,0,17,0,2,0,0,1739,0,0,7,0,0,0,0,0,0
0,0,0,0,0,114,0,0,10,0,0,17,0,0,0,0,0,0,0,17,0,12,0,0,1805,0,0,3,0,0,0,0,0,0
0,0,0,0,0,115,0,0,15,0,0,17,0,0,0,0,0,0,0,17,0,16,0,0,1814,0,0,4,0,0,0,0,0,0
0,0,0,0,0,116,0,0,8,0,0,16,0,0,0,0,0,0,0,17,0,13,0,0,1815,0,0,3,0,0,0,0,0,0
0,0,0,0,0,117,0,0,12,0,0,17,0,0,0,0,2,0,0,17,0,18,0,0,1816,0,0,5,0,0,0,0,0,0
0,0,0,0,0,118,0,0,8,0,0,17,0,0,0,0,0,0,0,17,0,3,0,0,1819,0,0,7,0,0,0,0,0,0
0,0,0,0,0,119,0,0,22,0,0,16,0,0,0,0,0,0,0,17,0,14,0,0,1823,0,0,3,0,0,0,0,0,0
0,0,0,0,0,120,0,0,13,0,0,17,0,0,0,0,2,0,0,17,0,9,0,0,110321,0,0,3,0,0,0,0,0,0
0,0,0,0,0,121,0,0,23,0,0,17,0,0,0,0,1,0,0,17,0,4,0,0,111273,0,0,6,0,0,0,0,0,0
0,0,0,0,0,122,0,0,20,0,0,17,0,0,0,0,2,0,0,17,0,10,0,0,111276,0,0,8,0,0,0,0,0,0
0,0,0,0,0,123,0,0,14,0,0,17,0,0,0,0,0,0,0,17,0,5,0,0,111659,0,0,3,0,0,0,0,0,0
0,0,0,0,0,124,0,0,24,0,0,17,0,0,0,0,2,0,0,17,0,7,0,0,131447,0,0,3,0,0,0,0,0,0
0,0,0,0,0,125,0,0,25,0,0,17,0,0,0,0,2,0,0,17,0,15,0,0,132680,0,0,5,0,0,0,0,0,0
0,0,0,0,0,126,0,0,1,0,86,19,0,34,0,0,0,0,0,19,0,1,0,86,21,0,0,0,0,0,1,0,1,22122
0,1,0,0,1,127,0,0,2,0,70,19,0,34,0,0,0,0,0,19,0,2,0,60,22,0,0,0,0,0,0,0,0,2022
0,3,0,0,3,128,0,0,10,0,43,19,0,34,0,0,0,0,0,19,0,12,0,53,23,0,0,0,0,0,0,0,0,11202
0,3,0,0,3,129,0,0,5,0,46,19,0,34,0,0,0,0,0,19,0,7,0,46,25,0,0,0,0,0,0,0,0,20102
0,3,0,0,3,130,0,0,3,0,40,20,0,34,0,0,1,0,0,19,0,13,0,46,28,0,0,0,0,0,0,0,0,221
0,5,0,0,5,131,0,0,11,0,26,19,0,34,0,0,2,0,0,19,0,14,0,13,31,0,0,0,0,0,0,0,0,10100
0,2,0,0,2,132,0,0,6,0,53,19,0,34,0,0,1,0,0,19,0,6,0,46,32,0,0,0,0,0,0,0,0,2201
0,1,0,0,1,133,0,0,16,0,53,19,0,34,0,0,1,0,0,19,0,4,0,40,36,0,0,0,0,0,0,0,0,1121
0,5,0,0,5,134,0,0,13,0,33,19,0,34,0,0,2,0,0,19,0,15,0,26,38,0,0,0,0,0,0,0,0,21000
0,3,0,0,3,135,0,0,9,0,56,19,0,34,0,0,0,0,0,19,0,10,0,46,169,0,0,0,0,0,0,0,0,10202
0,5,0,0,5,136,0,0,8,0,30,19,0,34,0,0,0,0,0,19,0,16,0,53,175,0,0,0,0,0,0,0,0,21102
0,3,0,0,3,137,0,0,7,0,33,19,0,34,0,0,1,0,0,19,0,8,0,13,1824,0,0,0,0,0,0,0,0,1001
0,3,0,0,3,138,0,0,4,0,36,19,0,34,0,0,0,0,0,19,0,11,0,46,1831,0,0,0,0,0,0,0,0,122
0,2,0,0,2,139,0,0,12,0,50,19,0,34,0,0,2,0,0,19,0,5,0,66,10029,0,0,0,0,0,0,0,0,22120
0,3,0,0,3,140,0,0,15,0,40,19,0,34,0,0,2,0,0,19,0,9,0,66,100409,0,0,0,0,0,0,0,0,21220
0,4,0,0,4,141,0,0,5,0,10,20,0,34,0,0,2,0,0,19,0,18,0,6,110329,0,0,0,0,0,0,0,0,10000
0,4,0,0,4,142,0,0,1,0,40,20,0,34,0,0,2,0,0,19,0,17,0,46,111235,0,0,0,0,0,0,0,1,2120
0,1,0,0,1,143,0,0,3,0,70,19,0,34,0,0,2,0,0,19,0,3,0,60,112172,0,0,0,0,0,0,0,0,22020
0,8,0,0,8,144,0,0,9,0,50,20,0,34,0,0,0,0,0,20,0,6,0,40,29,0,0,0,0,0,0,0,0,22
0,6,0,0,6,145,0,0,17,0,76,19,0,34,0,0,0,0,0,20,0,1,0,80,34,0,0,0,0,0,0,0,0,22202
0,3,0,0,3,146,0,0,16,0,40,20,0,34,0,0,0,0,0,20,0,13,0,53,159,0,0,0,0,0,0,0,0,12102
0,3,0,0,3,147,0,0,14,0,50,19,0,34,0,0,0,0,0,20,0,9,0,53,160,0,0,0,0,0,0,0,0,2112
0,5,0,0,5,148,0,0,12,0,46,20,0,34,0,0,0,0,0,20,0,16,0,46,165,0,0,0,0,0,0,0,0,20102
0,3,0,0,3,149,0,0,18,0,46,19,0,34,0,0,2,0,0,20,0,7,0,26,166,0,0,0,0,0,0,0,0,10020
0,3,0,0,3,150,0,0,14,0,53,20,0,34,0,0,1,0,0,20,0,8,0,60,171,0,0,0,0,0,0,0,0,12121
0,8,0,0,8,151,0,0,10,0,50,20,0,34,0,0,1,0,0,20,0,4,0,46,485,0,0,0,0,0,0,0,0,12111
0,3,0,0,3,152,0,0,6,0,53,2076,0,34,0,0,0,0,0,20,0,11,0,60,503,0,0,0,0,0,0,0,0,20202
0,5,0,0,5,153,0,0,20,0,13,2076,0,34,0,0,2,0,0,20,0,18,0,13,531,0,0,0,0,0,0,0,0,110
0,3,0,0,3,154,0,0,8,0,53,20,0,34,0,0,2,0,0,20,0,12,0,60,576,0,0,0,0,0,0,0,0,22200
0,6,0,0,6,155,0,0,1,0,56,2076,0,34,0,0,0,0,0,20,0,2,0,66,580,0,0,0,0,0,0,0,1,21202
0,3,0,0,3,156,0,0,7,0,36,20,0,34,0,0,2,0,0,20,0,10,0,26,1832,0,0,0,0,0,0,0,0,210
0,6,0,0,7,157,0,0,6,0,53,20,0,34,0,0,0,0,0,20,0,3,0,33,10030,0,0,0,0,0,0,0,0,10012
0,5,0,0,5,158,0,0,15,0,40,20,0,34,0,0,2,0,0,20,0,15,0,46,110500,0,0,0,0,0,0,0,0,12020
0,8,0,0,8,159,0,0,2,0,23,20,0,34,0,0,2,0,0,20,0,5,0,13,110502,0,0,0,0,0,0,0,0,1010
0,3,0,0,5,160,0,0,11,0,53,20,0,34,0,0,2,0,0,20,0,14,0,60,110588,0,0,0,0,0,0,0,0,20220
0,5,0,0,5,161,0,0,4,0,30,20,0,34,0,0,2,0,0,20,0,17,0,40,110636,0,0,0,0,0,0,0,0,2020
0,0,0,0,0,162,0,0,7,0,0,31,0,0,0,0,1,0,0,31,0,6,0,0,45,0,0,2,0,0,0,0,0,0
0,0,0,0,0,163,0,0,10,0,0,31,0,0,0,0,0,0,0,31,0,2,0,0,48,0,0,1,0,0,0,0,1,0
0,0,0,0,0,164,0,0,4,0,0,31,0,0,0,0,0,0,0,31,0,13,0,0,50,0,0,5,0,0,0,0,0,0
0,0,0,0,0,165,0,0,5,0,0,31,0,0,0,0,0,0,0,31,0,3,0,0,52,0,0,1,0,0,0,0,0,0
0,0,0,0,0,166,0,0,10,0,0,31,0,0,0,0,1,0,0,31,0,12,0,0,54,0,0,5,0,0,0,0,0,0
0,0,0,0,0,167,0,0,12,0,0,31,0,0,0,0,2,0,0,31,0,10,0,0,55,0,0,3,0,0,0,0,0,0
0,0,0,0,0,168,0,0,9,0,0,31,0,0,0,0,1,0,0,31,0,8,0,0,189,0,0,3,0,0,0,0,0,0
0,0,0,0,0,169,0,0,17,0,0,31,0,0,0,0,2,0,0,31,0,19,0,0,206,0,0,4,0,0,0,0,0,0
0,0,0,0,0,170,0,0,16,0,0,31,0,0,0,0,0,0,0,31,0,17,0,0,347,0,0,5,0,0,0,0,0,0
0,0,0,0,0,171,0,0,13,0,0,31,0,0,0,0,0,0,0,31,0,4,0,0,1745,0,0,2,0,0,0,0,0,0
0,0,0,0,0,172,0,0,5,0,0,31,0,0,0,0,0,0,0,31,0,14,0,0,1842,0,0,3,0,0,0,0,0,0
0,0,0,0,0,173,0,0,8,0,0,31,0,0,0,0,1,0,0,31,0,15,0,0,110374,0,0,4,0,0,0,0,0,0
0,0,0,0,0,174,0,0,2,0,0,31,0,0,0,0,2,0,0,31,0,16,0,0,110556,0,0,3,0,0,0,0,0,0
0,0,0,0,0,175,0,0,11,0,0,32,0,0,0,0,2,0,0,31,0,20,0,0,110738,0,0,4,0,0,0,0,0,0
0,0,0,0,0,176,0,0,19,0,0,32,0,0,0,0,2,0,0,31,0,18,0,0,111434,0,0,3,0,0,0,0,0,0
0,0,0,0,0,177,0,0,13,0,0,32,0,0,0,0,2,0,0,31,0,11,0,0,111974,0,0,3,0,0,0,0,1,0
0,0,0,0,0,178,0,0,2,0,0,31,0,0,0,0,0,0,0,31,0,9,0,0,115841,0,0,3,0,0,0,0,0,0
0,0,0,0,0,179,0,0,5,0,0,31,0,0,0,0,1,0,0,31,0,7,0,0,115845,0,0,3,0,0,0,0,0,0
0,0,0,0,0,180,0,0,2,0,0,31,0,0,0,0,2,0,0,31,0,5,0,0,131681,0,0,1,0,0,0,0,0,0
0,0,0,0,0,181,0,0,1,0,0,31,0,0,0,0,1,0,0,31,0,1,0,0,131682,0,0,0,0,0,0,0,0,0
0,4,0,0,4,182,0,0,20,0,43,31,0,38,0,0,1,0,0,32,0,20,0,20,200,0,0,5,0,0,0,0,0,1101
0,6,0,0,6,183,0,0,8,0,73,32,0,38,0,0,0,0,0,32,0,1,0,73,205,0,0,8,0,0,0,0,0,12212
0,7,0,0,7,184,0,0,10,0,40,32,0,38,0,0,2,0,0,32,0,6,0,26,1744,0,0,6,0,0,0,0,0,10020
0,3,0,0,3,185,0,0,14,0,33,31,0,38,0,0,1,0,0,32,0,15,0,33,1746,0,0,3,0,0,0,0,0,1021
0,3,0,0,3,186,0,0,7,0,46,32,0,38,0,0,2,0,0,32,0,13,0,46,1837,0,0,4,0,0,0,0,0,20120
0,7,0,0,7,187,0,0,9,0,60,32,0,38,0,0,2,0,0,32,0,4,0,53,1843,0,0,7,0,0,0,0,0,12120
0,5,0,0,5,188,0,0,3,0,40,32,0,38,0,0,0,0,0,32,0,17,0,40,1848,0,0,4,0,0,0,0,0,22
0,8,0,0,8,189,0,0,21,0,63,32,0,38,0,0,0,0,0,32,0,8,0,66,2038,0,0,7,0,0,0,0,0,12202
0,4,0,0,4,190,0,0,19,0,26,32,0,38,0,0,0,0,0,32,0,18,0,46,110740,0,0,3,0,0,0,0,0,20102
0,7,0,0,7,191,0,0,17,0,43,32,0,38,0,0,2,0,0,32,0,5,0,33,110908,0,0,3,0,0,0,0,0,11200
0,3,0,0,3,192,0,0,22,0,40,32,0,38,0,0,0,0,0,32,0,10,0,80,110912,0,0,3,0,0,0,0,0,22022
0,3,0,0,3,193,0,0,23,0,26,32,0,38,0,0,2,0,0,32,0,11,0,13,110915,0,0,7,0,0,0,0,0,110
0,3,0,0,3,194,0,0,24,0,63,32,0,38,0,0,2,0,0,32,0,9,0,60,111433,0,0,5,0,0,0,0,0,20220
0,6,0,0,6,195,0,0,1,0,86,32,0,38,0,0,0,0,0,32,0,2,0,86,111657,0,0,6,0,0,0,0,0,12222
0,7,0,0,7,196,0,0,11,0,53,31,0,38,0,0,1,0,0,32,0,3,0,66,111811,0,0,3,0,0,0,0,0,22201
