jerseyleftsleevebadge,teamcolortertr,shortsnumbercolorterr,isinheritbasedetailmap,teamkitid,jerseynumbercolorprimr,jerseyshapestyle,jerseynameoutlinecolorg,jerseynumbercolorsecb,shortsnumbercolorsecb,sockstemplateindex,teamcolorprimpercent,jerseybacknamefontcase,teamcolorprimg,jerseycollargeometrytype,jerseynamecolorg,powid,shortsrenderingdetailmaptype,teamkittypetechid,shortsnumbercolorsecg,islocked,dlc,teamcolorsecr,shortstemplateindex,teamcolorprimb,jerseynameoutlinecolorb,jerseyrightsleevebadge,jerseynamefonttype,shortsnumbercolorprimr,captainarmband,jerseynamecolorb,shortsnumberfonttype,teamcolortertb,shortsnumbercolorterb,jerseynumbercolorsecg,jerseynameoutlinewidth,jerseyrenderingdetailmaptype,jerseynumbercolorterg,isgeneric,jerseynumbercolorprimg,jerseynamelayouttype,teamcolorprimr,jerseynumbercolorterr,jerseynumbercolorprimb,jerseynumbercolorsecr,chestbadge,numberfonttype,renderingmaterialtype,teamcolorsecb,jerseynumbercolorterb,hasadvertisingkit,jerseyrestriction,teamcolorsecpercent,jerseyfit,jerseytemplateindex,shortsnumbercolorprimg,teamcolorsecg,isembargoed,armbandtype,year,jerseyfrontnumberplacementcode,teamtechid,jerseynamecolorr,shortsnumbercolorprimb,jerseybacknameplacementcode,shortsnumbercolorsecr,jerseynameoutlinecolorr,shortstyle,teamcolortertpercent,shortsnumbercolorterg,shortsnumberplacementcode,teamcolortertg
0,75,12,0,1772,220,0,220,12,12,0,98,0,154,0,220,0,0,2,12,0,0,68,0,205,220,14,49,220,14,220,89,206,12,12,0,0,12,0,220,1,68,12,220,12,0,23,0,205,12,1,0,98,0,0,220,154,0,0,0,0,12,220,220,1,12,220,0,99,12,1,155
0,30,12,0,1370,12,0,220,25,220,0,54,0,231,0,12,-1,0,0,220,0,0,35,0,231,220,13,135,220,13,12,262,30,12,25,2,0,220,0,12,1,231,220,12,25,0,265,0,34,220,0,0,36,0,0,220,34,0,0,0,0,13,12,220,1,220,220,0,98,12,1,30
0,231,220,0,1371,220,0,12,220,25,0,88,0,130,7,220,-1,0,1,25,0,0,229,0,90,12,13,135,12,13,220,265,231,220,220,2,0,12,0,220,1,63,12,220,220,0,262,0,229,12,0,0,10,0,0,12,229,0,0,0,0,13,220,12,1,25,12,0,98,220,1,231
0,186,12,0,1773,220,0,12,220,220,0,52,0,53,0,220,0,0,2,220,0,0,95,0,160,12,13,135,220,13,220,262,161,12,220,2,0,12,0,220,0,185,12,220,220,0,262,0,90,12,0,0,40,0,0,220,23,0,0,0,0,13,220,220,1,220,12,0,97,12,1,53
0,44,12,0,3334,220,0,12,220,220,0,93,0,53,22,220,-1,0,3,220,0,0,45,0,93,12,13,135,220,13,220,262,91,12,220,2,0,12,0,220,1,45,12,220,220,0,262,0,93,12,0,0,93,0,0,220,53,0,0,0,0,13,220,220,1,220,12,3,97,12,1,52
0,231,220,0,635,220,0,12,220,220,0,93,0,32,11,220,-1,0,0,220,0,0,223,0,39,12,13,135,234,13,220,262,231,220,220,2,0,25,0,220,0,223,25,220,220,0,262,0,39,25,1,1,93,0,0,30,32,0,0,0,0,14,220,45,1,220,12,0,98,220,1,231
0,223,220,0,636,28,0,220,99,99,0,91,0,220,0,30,-1,0,1,41,0,0,184,0,207,220,13,135,28,13,77,265,209,220,41,0,0,220,0,30,0,222,220,77,33,0,265,0,150,220,1,1,7,0,0,30,172,0,0,0,0,14,28,77,1,33,220,0,98,220,1,221
0,233,220,0,3999,12,0,220,25,25,0,94,0,229,0,12,0,0,2,25,0,0,132,0,117,220,13,135,12,13,12,265,152,220,25,2,0,220,0,12,0,232,220,12,25,0,265,0,48,220,1,0,5,0,0,12,34,0,0,0,0,14,12,12,1,25,220,0,97,220,1,236
0,47,220,0,7211,234,0,12,220,220,0,93,0,49,0,30,0,0,3,220,0,0,254,0,60,12,13,135,234,13,45,262,58,220,220,2,0,220,0,30,0,46,220,45,220,0,262,0,75,220,1,1,6,0,0,30,77,0,1,0,0,14,234,45,1,220,12,0,98,220,1,48
0,230,220,0,637,197,0,220,220,220,0,65,0,236,7,0,0,0,0,220,0,0,0,0,236,220,14,49,197,14,46,89,230,220,220,0,0,220,0,0,1,236,220,46,220,0,23,0,103,220,1,0,33,0,0,0,60,0,0,0,0,15,197,46,1,220,220,0,82,220,1,230
0,30,12,0,638,220,0,12,12,12,0,48,0,30,7,220,0,0,1,12,0,0,232,0,30,12,14,49,220,14,220,89,30,12,12,0,0,12,0,220,1,30,12,220,12,0,23,0,160,12,1,0,48,0,0,220,141,0,0,0,0,15,220,220,1,12,12,0,94,12,1,30
0,37,12,0,4388,220,0,12,12,12,0,99,0,31,7,220,0,0,2,12,0,0,35,0,37,12,14,49,220,14,220,89,38,12,12,0,0,12,0,220,1,35,12,220,12,0,23,0,37,12,1,0,99,0,0,220,31,0,0,0,0,15,220,220,1,12,12,0,99,12,1,32
0,30,12,0,639,197,0,0,220,12,0,72,0,231,8,0,0,0,0,12,0,0,231,0,231,46,14,49,220,14,46,89,29,12,220,0,0,220,0,0,1,231,220,46,220,0,23,0,23,220,1,0,24,0,0,220,23,0,0,0,0,17,197,220,1,12,197,0,88,12,1,29
0,13,12,0,640,12,0,12,220,12,0,63,0,222,7,12,0,0,1,12,0,0,13,0,0,12,14,49,220,14,12,89,204,12,220,0,0,220,0,12,1,254,220,12,220,0,23,0,204,220,1,0,28,0,0,220,100,0,0,0,0,17,12,220,1,12,12,0,88,12,1,99
0,44,12,0,4676,220,0,220,12,12,0,79,0,119,0,220,0,0,2,12,0,0,243,0,85,220,14,49,220,14,220,89,88,12,12,0,0,12,0,220,1,35,12,220,12,0,23,0,132,12,1,0,9,0,0,220,87,0,0,0,0,17,220,220,1,12,220,0,91,12,1,120
0,34,12,0,1372,28,0,220,99,220,0,70,0,227,0,30,0,0,0,220,0,0,34,0,227,220,13,135,220,13,77,262,63,12,41,2,0,220,0,30,1,227,220,77,33,0,265,0,62,220,1,0,12,0,5,220,37,0,1,0,0,18,28,220,1,220,220,0,93,12,1,37
0,26,12,0,1373,220,0,12,220,220,0,97,0,26,0,220,0,0,1,220,0,0,26,0,26,12,13,135,220,13,220,262,26,12,220,2,0,12,0,220,1,26,12,220,220,0,262,0,26,12,1,0,97,0,5,220,26,0,0,0,0,18,220,220,1,220,12,0,100,12,1,26
0,118,12,0,1774,220,0,12,220,220,0,83,0,12,0,220,0,0,2,220,0,0,189,0,103,12,13,135,220,13,220,262,102,12,220,2,0,12,0,220,1,119,12,220,220,0,262,0,138,12,1,0,15,0,6,220,58,0,1,0,0,18,220,220,1,220,12,0,97,12,1,12
0,226,220,0,3214,28,0,220,99,99,0,84,0,217,7,30,0,0,3,41,0,0,25,0,69,220,13,135,28,13,77,265,70,220,41,2,0,220,0,30,1,224,220,77,33,0,265,0,56,220,1,0,12,0,5,30,27,0,1,0,0,18,28,77,1,33,220,0,96,220,1,218
0,231,220,0,1374,220,0,12,220,25,0,95,0,43,7,220,0,0,0,25,0,0,124,0,64,12,13,135,12,13,220,265,231,220,220,2,0,12,0,220,1,124,12,220,220,0,262,0,64,12,1,0,95,0,0,12,43,0,0,0,0,19,220,12,1,25,12,0,91,220,1,231
0,40,12,0,1375,12,0,220,25,220,0,91,0,216,0,12,0,0,1,220,0,0,40,0,191,220,13,135,220,13,12,262,60,12,25,2,0,220,0,12,1,238,220,12,25,0,265,0,59,220,1,0,6,0,0,220,44,0,0,0,0,19,12,220,1,220,220,0,100,12,1,45
0,243,12,0,1775,220,0,12,220,220,0,78,0,103,0,220,0,0,2,220,0,0,230,0,47,12,13,135,220,13,220,262,47,12,220,2,0,12,0,220,1,242,12,220,220,0,262,0,36,12,1,0,10,0,0,220,65,0,1,0,0,19,220,220,1,220,12,0,91,12,1,104
0,208,220,0,5759,220,0,12,220,25,0,93,0,37,8,220,0,0,3,25,0,0,34,0,55,12,13,135,12,13,220,265,100,220,220,2,0,12,0,220,1,34,12,220,220,0,262,0,55,12,1,0,93,0,0,12,37,0,1,0,0,19,220,12,1,25,12,0,91,220,1,171
0,168,220,0,1376,220,0,220,40,220,0,77,0,24,0,220,0,0,0,220,0,0,235,0,36,220,100019,79,220,100,220,272,36,220,22,0,0,75,0,220,0,167,9,220,175,0,272,0,235,153,0,0,20,0,0,220,235,0,0,0,0,21,220,220,1,220,220,0,99,220,1,24
0,231,230,0,1377,230,0,85,91,64,0,75,0,230,3,85,-1,0,1,82,0,0,189,0,231,91,100019,79,230,100,91,285,231,64,85,0,0,85,0,82,0,231,78,64,78,0,285,0,178,91,0,0,7,0,0,82,174,0,0,0,0,21,78,64,1,230,78,0,97,82,1,231
0,170,12,0,1378,12,0,12,165,12,0,55,0,214,0,12,-1,0,2,12,0,0,117,0,159,12,100019,79,12,100,12,285,161,12,218,0,0,12,0,12,0,168,12,12,176,0,285,0,121,12,0,0,37,0,0,12,189,0,0,0,0,21,12,12,1,12,12,0,95,12,1,216
0,44,12,0,1379,213,0,203,12,189,0,96,0,30,7,203,-1,0,3,203,0,0,30,0,32,189,100019,79,213,0,189,286,46,12,12,0,0,12,0,203,0,30,12,189,12,0,286,0,32,12,0,0,96,0,0,203,30,0,1,0,0,21,213,189,1,213,213,3,97,12,1,44
0,29,9,0,17800,63,0,73,40,40,0,94,0,185,7,73,0,0,4,22,0,0,64,0,176,71,100019,6,63,0,71,233,29,153,22,0,0,75,0,73,0,189,9,71,175,0,233,0,72,153,0,1,5,0,8,73,74,0,0,0,0,21,63,71,1,175,63,3,97,75,1,29
0,33,249,0,1380,12,0,12,12,72,0,63,0,231,7,12,0,0,0,222,0,0,25,0,80,12,19,144,249,100,12,222,29,72,12,0,0,203,0,12,0,254,248,12,12,0,222,0,25,16,0,0,33,0,0,222,25,0,0,0,0,22,12,72,1,249,12,0,71,222,1,28
0,175,12,0,1381,12,0,12,225,12,0,68,0,221,0,12,0,0,1,12,0,0,24,0,188,12,19,144,12,100,12,222,93,12,211,0,0,12,0,12,0,201,12,12,189,0,222,0,24,12,0,0,25,0,0,12,23,0,0,0,0,22,12,12,1,12,12,0,71,12,1,233
0,44,199,0,1776,237,0,12,12,57,0,78,0,119,0,203,0,0,2,188,0,0,249,0,85,12,19,144,199,100,7,222,88,57,12,0,0,203,0,203,0,36,237,7,12,0,222,0,17,7,0,0,9,0,0,188,206,0,0,0,0,22,237,57,1,199,12,0,91,188,1,120
0,33,210,0,1777,12,0,12,12,40,0,86,0,185,0,12,0,0,3,173,0,0,25,0,28,12,19,144,210,100,12,222,30,40,12,2,0,153,0,12,0,250,186,12,12,0,222,0,25,20,0,1,12,0,0,173,25,0,0,0,0,22,12,40,1,210,12,0,100,173,1,29
0,29,251,0,11379,251,0,201,12,12,0,80,0,31,0,201,0,0,4,12,0,0,240,0,31,12,0,144,251,100,12,222,29,12,12,0,0,201,0,201,0,31,251,12,12,0,222,0,29,12,0,0,9,0,0,201,209,1,0,0,0,22,251,12,1,12,251,0,71,201,1,29
0,238,12,0,1382,12,0,12,220,12,0,93,0,234,0,12,0,0,0,12,0,0,31,0,217,12,19,141,12,0,12,240,215,12,220,0,0,12,0,12,0,240,12,12,220,0,240,0,31,12,0,1,5,0,0,12,31,0,1,0,0,23,12,12,1,12,12,0,93,12,1,232
0,78,220,0,1383,220,0,220,12,220,0,75,0,179,0,220,0,0,1,220,0,0,34,0,65,220,19,141,220,0,220,240,64,220,12,0,0,220,0,220,0,79,220,220,12,0,240,0,19,220,0,1,9,0,0,220,34,0,0,0,0,23,220,220,1,220,220,0,93,220,1,177
0,250,12,0,1778,12,0,12,220,12,0,74,0,241,0,12,0,0,2,12,0,0,189,0,2,12,19,141,12,0,12,240,7,12,220,0,0,12,0,12,0,252,12,12,220,0,240,0,19,12,0,1,23,0,0,12,174,0,1,0,0,23,12,12,1,12,12,0,62,12,1,240
0,29,220,0,3681,220,0,220,12,220,0,96,0,30,0,220,0,0,3,220,0,0,30,0,30,220,19,141,220,100,220,240,29,220,12,0,0,220,0,220,0,30,220,220,12,0,240,0,30,220,0,1,96,0,0,220,30,0,0,0,0,23,220,220,1,220,220,0,100,220,1,29
0,30,220,0,17575,220,0,220,12,220,0,88,0,31,0,220,0,0,4,220,0,0,31,0,31,220,0,0,220,0,220,275,30,220,12,0,0,220,0,220,0,31,220,220,12,0,240,0,31,220,0,0,88,0,0,220,31,1,0,0,0,23,220,220,1,220,220,0,100,220,1,30
0,183,12,0,641,12,0,12,12,12,0,73,1,231,5,12,0,0,0,12,0,0,174,0,231,12,19,17,12,100,12,2,34,12,12,0,0,220,0,12,0,231,220,12,12,0,2,0,46,220,0,0,19,0,0,12,35,0,0,0,0,25,12,12,1,12,12,0,100,12,1,28
0,29,220,0,4714,220,0,220,220,220,0,87,1,35,0,220,0,0,1,220,0,0,231,0,36,220,19,17,220,100,220,2,29,220,220,0,0,220,0,220,0,34,220,220,220,0,2,0,231,220,0,0,11,0,0,220,231,0,0,0,0,25,220,220,1,220,220,0,100,220,1,29
0,2,220,0,4688,220,0,220,220,220,0,54,1,108,0,220,0,0,2,220,0,0,67,0,76,220,19,17,220,100,220,2,68,220,220,0,0,220,0,220,0,57,220,220,220,0,2,0,91,220,0,0,42,0,6,220,177,0,0,0,0,25,220,220,1,220,220,0,100,220,1,118
0,201,12,0,642,220,0,220,220,12,0,98,1,33,5,220,0,0,3,12,0,0,193,0,39,220,19,17,12,100,220,2,41,12,220,0,0,220,0,220,0,193,220,220,220,0,2,0,39,220,0,0,98,0,0,12,33,0,0,0,0,25,220,12,1,12,220,0,100,12,1,35
0,29,220,0,17551,220,0,220,220,220,0,91,1,35,5,220,0,0,4,220,0,0,231,0,35,220,0,17,220,0,220,2,29,220,220,0,0,220,0,220,0,34,220,220,220,0,2,0,231,220,0,0,8,0,0,220,231,1,0,0,0,25,220,220,1,220,220,0,100,220,1,29
0,231,0,0,643,220,0,220,220,185,0,81,1,111,7,220,0,0,0,111,0,0,230,0,170,220,2076,1,0,100,220,6,231,185,220,0,0,220,0,220,0,17,220,220,220,0,6,0,230,220,0,0,10,0,0,111,230,0,0,0,0,27,220,185,1,0,220,0,96,111,1,231
0,0,220,0,644,0,0,111,185,220,0,85,1,217,7,111,0,0,1,220,0,0,2,0,207,185,2076,1,220,100,185,6,186,220,111,0,0,111,0,111,0,220,0,185,0,0,6,0,185,185,0,0,12,0,0,220,113,0,0,0,0,27,0,220,1,220,0,0,99,220,1,112
