teamname,goalnetstanchioncolor2r,hastifo,stadiumgoalnetstyle,utcoffset,teamcolor1b,crowdregion,gender,captainid,popularity,iscompetitioncrowdcardsenabled,numtransfersin,teamcolor3b,matchdaymidfieldrating,youthdevelopment,personalityid,pitchlinecolor,crowdskintonecode,teamcolor2r,stadiumgoalnetpattern,freekicktakerid,genericint2,opponentstrongthreshold,powid,hasstandingcrowd,longitude,genericint1,teamcolor3g,goalnetstanchioncolor1g,teamcolor2b,favoriteteamsheetid,clubworth,haslargeflag,midfieldrating,trait1vequal,presassetone,teamstadiumcapacity,goalnetstanchioncolor1b,teamcolor3r,rightfreekicktakerid,attackrating,overallrating,presassettwo,opponentweakthreshold,teamcolor1g,throwerright,hasvikingclap,iscompetitionscarfenabled,goalnetstanchioncolor1r,leftfreekicktakerid,longkicktakerid,trainingstadium,skinnyflags,stanchionflamethrower,cksupport6,prev_el_champ,uefa_consecutive_wins,ethnicity,trait1vstrong,defenserating,leaguetitles,cksupport2,stadiummowpattern_code,iscompetitionpoleflagenabled,internationalprestige,rivalteam,rightcornerkicktakerid,cksupport9,goalnetstanchioncolor2b,cksupport8,uefa_cl_wins,penaltytakerid,profitability,uefa_uecl_wins,genericbanner,matchdayattackrating,hassubstitutionboard,pitchwear,trait1vweak,teamcolor1r,pitchcolor,teamid,buildupplay,cksupport5,defensivedepth,cksupport3,goalnetstanchioncolor2g,cityid,cksupport4,domesticprestige,flamethrowercannon,ballid,form,teamcolor2g,cksupport7,latitude,matchdayoverallrating,hassuncanthem,cksupport1,cornerflagpolecolor,isbannerenabled,playsurfacetype,throwerleft,leftcornerkicktakerid,foundationyear,assetid,uefa_el_wins,matchdaydefenserating,jerseytype,domesticcups
Middlesbrough,1,0,0,0,34,3,0,186156,5,2,0,34,72,6,0,0,2,255,0,218659,-1,2,-1,0,-1,72,25,1,255,-1,80000,0,72,532610,0,33931,1,235,218659,70,72,0,2,25,261283,0,2,1,252796,218659,316,0,0,261283,0,0,1,528514,72,0,252796,1,2,1,13,218659,252796,1,233487,0,261283,6,0,0,70,0,0,270466,224,4,12,2,255145,30,261283,1,315,216464,7,0,55,0,255,253054,54,72,0,233487,0,2,0,261283,253054,1876,12,0,72,1,0
Newcastle Utd,9,0,0,0,30,3,0,223334,7,2,0,30,84,5,0,0,2,255,0,241096,-1,2,-1,0,-1,81,30,40,255,-1,900000,0,84,4202624,0,52305,25,30,234742,79,81,0,2,30,262118,0,0,9,234742,234742,366,0,0,210047,0,0,2,266368,80,4,234824,1,0,8,106,206085,256261,25,241096,0,234824,10,0,0,79,0,0,131712,30,4,13,2,234742,50,251517,40,342,247851,8,0,35,0,255,251517,54,81,0,256261,0,2,0,251517,206085,1892,13,0,80,2,6
Nott'm Forest,221,0,0,0,33,3,0,235642,6,2,0,33,78,6,1,0,2,255,0,254243,-1,2,-1,0,-1,79,36,36,255,-1,440000,0,78,4195648,0,30445,33,210,236015,79,79,0,2,36,224656,0,2,221,236015,236015,316,0,0,232488,0,0,4,270656,80,1,238095,1,2,6,91,254243,238095,33,254243,2,192123,10,0,0,79,0,0,132416,221,5,14,1,257980,50,192123,36,352,236015,6,0,35,0,255,224656,52,79,0,232488,0,2,0,243702,260145,1865,14,0,80,2,2
QPR,31,0,5,0,151,3,0,235156,4,2,0,171,70,6,0,0,2,255,0,265412,-1,1,-1,0,0,70,66,43,255,-1,35000,0,70,4202752,0,18439,109,32,265412,67,70,0,1,66,277658,0,2,31,265412,265412,316,0,0,277658,0,0,2,266496,70,0,241075,1,2,1,144,265412,262072,109,241075,0,279857,5,0,0,67,0,0,4202752,32,4,15,2,75093,50,277658,43,285,262072,5,0,55,0,255,279857,51,70,0,279857,0,2,0,277658,265412,1882,15,0,70,2,0
Southampton,236,0,0,0,43,3,0,252793,6,2,0,10,72,8,0,0,2,255,0,269964,-1,2,-1,0,-1,72,10,26,255,-1,200000,0,72,4195456,0,32384,27,211,269964,74,72,0,2,0,226777,0,0,236,269964,269964,316,0,0,226777,0,0,2,270464,72,0,266312,1,0,2,1790,269964,266312,27,269964,0,226777,7,0,0,74,0,0,4195456,228,3,17,1,240097,50,226777,26,459,266422,10,1,55,0,255,252066,50,72,0,252066,0,2,0,226777,269964,1885,17,0,72,2,1
Spurs,29,1,0,0,255,3,0,229391,8,3,0,211,80,6,1,0,2,15,0,243576,-1,2,-1,1,0,80,177,37,75,-1,2430000,0,80,66180,0,62850,110,153,243576,79,80,0,2,255,243576,0,0,29,243576,243576,366,0,0,237985,1,0,3,73860,80,2,237985,1,2,7,1,245367,264453,110,229391,0,225539,8,0,0,79,0,0,66180,255,6,18,1,236480,90,264453,37,285,233927,7,0,35,0,32,243576,51,80,0,225539,0,1,0,259583,245155,1882,18,3,80,2,8
West Ham,16,0,0,0,57,3,0,224371,7,2,0,60,78,6,0,0,2,27,0,270857,-1,2,-1,0,0,77,30,38,231,-1,915300,0,78,270480,1,60000,32,100,270857,76,77,0,2,37,264290,0,1,16,270857,270857,366,0,0,264290,0,0,5,528528,77,0,270857,1,0,4,97,224371,270857,32,251954,0,224371,8,1,0,76,0,0,263312,123,3,19,2,274915,30,264290,38,285,236792,3,0,35,0,177,237712,51,77,0,237712,0,2,0,264290,251954,1895,19,0,77,2,3
FC Bayern München,200,1,1,1,60,4,0,167495,8,0,0,27,85,5,0,0,2,255,0,247827,-1,3,-1,1,11,84,29,1,255,-1,4335499,0,85,131716,0,75000,1,29,202126,90,84,0,3,1,202126,0,1,200,247827,212622,366,0,0,202126,0,0,6,4202628,83,34,241084,1,1,9,32,247827,247827,1,241084,6,202126,3,0,0,90,1,0,131716,255,4,21,1,250955,65,202126,1,333,275298,10,0,25,0,255,256790,48,84,0,256790,0,1,0,202126,212622,1900,21,1,83,2,20
Borussia Dortmund,149,1,12,1,1,4,0,247819,9,3,0,1,80,7,0,0,2,1,0,259716,-1,2,-1,1,7,81,255,157,1,-1,1742700,0,80,131716,0,81365,152,245,204923,82,81,0,2,217,215441,0,1,149,259716,259716,366,0,0,215441,0,0,2,4202628,81,8,212194,1,1,8,21,212194,259716,152,212194,1,215441,3,0,0,82,1,0,131716,255,4,22,1,246863,65,215441,157,141,259716,9,0,25,0,1,254117,51,81,0,254117,0,1,0,215441,251852,1909,22,0,81,2,5
M'gladbach,1,1,8,1,1,4,0,257919,7,3,0,41,75,7,1,0,2,255,0,220876,-1,2,-1,1,6,75,185,255,255,-1,308720,0,75,4202498,0,54042,255,122,220876,77,75,0,2,1,212002,0,1,255,220876,220876,316,0,0,212002,0,0,2,266242,75,5,264194,1,1,5,31,220876,264194,1,220876,0,212002,3,0,0,77,1,0,132098,1,4,23,2,257919,50,212002,1,322,262906,6,0,25,0,255,204497,51,75,0,204497,0,1,0,212002,220876,1900,23,2,75,2,3
SC Freiburg,220,0,1,1,43,4,0,209846,5,1,0,255,75,10,0,0,2,1,0,212096,-1,2,-1,1,7,75,255,1,1,-1,297500,0,75,4195330,0,34700,1,255,212096,74,75,0,2,1,259750,0,1,220,212096,212096,316,0,0,259750,0,0,3,270338,76,0,240451,1,1,4,36,212096,240451,1,212096,0,212096,4,0,0,74,1,0,132098,228,4,25,1,226168,50,259750,1,168,276694,5,4,25,0,1,234875,48,75,0,234875,0,1,0,259750,212096,1904,25,0,76,2,0
FC Hansa Rostock,235,0,5,1,184,4,0,223680,8,1,0,31,65,7,1,0,2,255,0,270111,-1,1,-1,1,12,66,41,235,255,-1,9850,0,65,263424,0,29000,235,255,270111,66,66,0,1,110,244109,1,1,235,270111,270111,316,0,0,244109,0,0,2,532736,66,0,251107,1,1,1,110329,270111,270111,235,251107,0,251107,1,0,0,66,0,2,4195584,1,4,27,1,223680,50,244109,235,641,243893,10,0,91,0,255,251090,54,66,0,251090,0,1,0,244109,270111,1965,27,0,66,2,0
Hamburger SV,180,1,11,1,170,4,0,232839,8,3,0,1,73,6,0,0,2,255,0,232839,-1,2,-1,1,9,74,1,180,255,-1,195200,0,73,4202497,0,57000,180,1,232839,72,74,2,2,90,255036,0,1,180,232839,232839,316,0,0,255036,0,0,3,266241,74,6,256958,1,1,3,110329,232839,232839,180,256958,1,232839,2,0,0,72,1,0,4202497,1,4,28,2,241928,50,255036,180,205,276119,2,0,25,0,255,236533,53,74,0,236533,0,1,0,255036,232839,1887,28,0,74,2,3
Kaiserslautern,210,0,0,1,1,4,0,223755,8,1,0,65,70,7,1,0,2,255,0,223755,-1,1,-1,1,7,69,24,210,255,-1,26800,0,70,4202497,0,49850,210,153,223755,70,69,0,1,1,237321,0,1,210,223755,73135,316,0,0,237321,0,0,3,266241,69,4,263343,1,1,1,1832,73135,73137,210,263343,0,223755,4,0,0,70,0,2,4202497,255,4,29,2,269307,50,237321,210,238,73137,6,0,27,0,255,223755,49,69,0,223755,0,1,0,237321,73135,1900,29,0,69,2,2
1. FC Köln,1,0,1,1,28,4,0,254660,10,3,0,1,74,8,0,0,2,255,0,252495,-1,2,-1,1,6,74,1,1,255,-1,181055,0,74,4202624,0,50000,1,1,252495,75,74,0,2,41,71178,0,1,1,252495,252495,316,0,0,71178,0,0,2,266368,71,3,254660,1,1,3,23,252495,254660,1,252495,0,252495,2,0,0,75,1,0,4202624,218,4,31,2,246814,50,71178,1,249,256942,2,0,25,0,255,244390,50,74,0,244390,0,1,0,71178,252495,1948,31,0,71,2,4
Leverkusen,210,1,0,1,1,4,0,212242,4,3,0,255,80,7,0,0,2,1,0,210035,-1,2,-1,1,7,79,255,210,1,-1,555720,0,80,4195328,0,30210,210,255,228813,80,79,0,2,1,208618,0,1,210,228813,212242,366,0,0,212242,0,0,2,270336,78,1,275029,1,1,7,21,228813,247263,210,275029,0,231521,9,0,0,80,1,0,132096,255,4,32,1,208618,50,247263,210,277,231521,9,0,25,0,1,237328,51,79,0,237328,0,1,0,272781,228813,1904,32,1,78,2,2
1860 München,240,0,0,1,241,4,0,238793,10,1,0,175,65,10,1,0,2,255,0,200610,-1,1,-1,1,11,66,75,240,255,-1,5580,0,65,526352,0,15000,240,20,200610,66,66,0,1,200,233707,0,1,240,200610,238793,316,0,0,233707,0,0,1,526352,65,1,200610,1,1,1,111239,238793,244413,240,200610,0,238793,3,0,0,66,0,2,266256,145,4,33,3,76596,30,233707,240,333,244413,8,0,91,0,255,211899,48,66,0,211899,0,1,0,233707,238793,1899,33,0,65,2,2
FC Schalke 04,180,1,3,1,156,4,0,212240,10,3,0,223,70,9,1,0,2,255,1,212240,-1,1,-1,1,7,71,70,180,255,-1,63201,0,70,139265,0,62271,180,13,212240,75,71,0,1,75,237708,0,1,180,212240,212240,316,0,0,237708,0,0,4,4198401,70,7,253102,1,1,3,160,262936,240916,180,253102,0,212240,2,0,0,75,0,0,139265,1,4,34,2,239099,65,237708,180,178,240916,8,0,27,0,255,212240,51,71,0,212240,0,1,0,237708,262936,1904,34,1,70,2,5
VfB Stuttgart,210,0,24,1,255,4,0,239096,8,1,0,1,78,8,0,0,2,211,0,250959,-1,2,-1,1,9,77,1,255,41,-1,356020,0,78,66561,0,60449,255,1,250959,80,77,0,2,255,238900,0,1,255,250959,250959,316,0,0,238900,0,0,3,139265,76,5,241925,1,1,5,25,250959,252448,30,241925,0,244176,5,0,0,80,1,0,66561,255,4,36,1,239096,90,238900,30,466,252448,7,4,25,0,1,244176,48,77,0,244176,0,1,0,238900,250959,1893,36,0,76,2,4
SV Werder Bremen,1,1,25,1,73,4,0,239701,7,3,0,52,76,6,1,0,2,255,0,239701,-1,2,-1,1,8,75,81,1,255,-1,202000,0,76,270464,0,42100,1,1,239701,73,75,0,2,129,239701,0,1,1,239701,239701,316,0,0,239701,0,0,8,528512,74,4,256688,1,1,3,28,239701,256688,1,266183,0,239701,2,0,0,73,1,0,263296,1,4,38,2,77636,30,276304,1,70,240699,4,0,25,0,255,276304,53,75,0,266183,0,1,0,239701,239701,1899,38,0,74,2,6
Juventus,25,1,0,1,250,4,0,222077,10,3,0,170,80,7,1,0,2,30,0,277954,-1,2,-1,1,7,81,151,25,30,-1,1840000,0,80,131648,0,41507,25,248,277954,81,80,0,2,250,243630,0,1,25,277954,222077,366,0,0,243630,0,0,4,4202560,81,36,247246,1,1,8,54,261050,258966,25,261050,2,277954,9,0,0,81,0,0,131648,250,3,45,1,238744,65,243630,25,485,222077,10,0,47,0,30,277954,45,80,0,258966,0,1,0,243630,277954,1897,45,3,81,2,15
SSC Napoli,255,0,0,1,225,4,0,216409,8,3,0,140,81,1,1,0,2,250,0,192985,-1,2,-1,1,14,81,96,255,250,-1,562575,0,81,66180,0,54726,255,10,216409,78,81,0,2,167,259399,0,1,255,192985,192985,366,0,0,259399,0,0,3,73860,80,4,202884,1,1,7,45,216409,202884,255,192985,0,192985,9,0,0,78,0,0,66180,0,3,48,1,216435,90,259399,255,338,237238,8,0,47,0,250,79270,40,81,0,79270,0,1,0,259399,192985,1926,48,1,80,2,6
Parma,250,0,0,1,0,4,0,252442,4,1,0,250,73,9,0,0,2,9,0,258714,-1,2,-1,1,10,73,250,250,145,-1,256200,0,73,532488,0,22352,250,250,253162,72,73,0,2,212,235949,0,1,250,258714,258714,316,0,0,235949,0,0,4,528392,71,0,261539,1,1,3,189,258714,278436,250,261539,0,263229,4,0,0,72,0,0,270344,255,4,50,2,246164,30,235949,250,653,273884,3,0,47,0,48,263229,44,73,0,263229,0,1,0,235949,253162,1913,50,2,71,2,3
AS Roma,250,1,0,1,0,4,0,208268,8,1,0,250,80,2,1,0,2,255,0,211110,-1,2,-1,2,12,80,250,250,0,-1,478500,0,80,66116,0,70634,250,250,211110,80,80,0,2,0,231447,0,1,250,211110,211110,366,0,0,231447,0,0,2,73796,80,3,80170,1,1,7,115841,211110,80170,250,265695,0,231447,6,1,0,80,0,0,66116,102,4,52,1,208268,90,231447,250,408,250723,7,0,47,0,142,211110,41,80,0,265695,0,1,0,231447,211110,1927,52,0,80,2,9
Torino,124,0,0,1,35,4,0,215333,5,1,0,55,73,5,0,0,2,250,0,211147,-1,2,-1,1,7,75,30,29,250,-1,270600,0,73,266248,0,27958,35,150,211147,78,75,0,2,30,216816,0,1,124,211147,211147,316,0,0,216816,0,0,2,528392,74,7,273932,1,1,3,45,211147,241095,35,273932,0,241095,5,0,0,78,0,0,270344,122,4,54,3,266257,30,216816,29,485,241095,5,0,47,0,250,215333,45,75,0,215333,0,1,0,216816,211147,1906,54,0,74,2,5
Udinese,30,0,0,1,30,4,0,214658,4,1,0,64,73,7,0,0,2,250,0,243249,-1,2,-1,1,13,73,160,30,250,-1,240225,0,73,4202504,0,25144,30,196,238067,73,73,0,2,30,231743,0,1,30,243249,238067,316,0,0,231743,0,0,2,266248,73,0,214658,1,1,2,112494,238067,272783,30,243249,0,231743,3,0,0,73,0,0,4202504,30,4,55,2,242238,50,231743,30,499,220421,4,0,47,0,250,238067,46,73,0,243249,0,1,0,231743,272783,1896,55,0,73,2,0
AJ Auxerre,1,0,0,1,184,4,0,238392,4,0,0,175,73,7,0,0,2,250,0,272894,-1,2,-1,1,3,72,116,1,250,-1,65000,0,73,4198529,0,18541,1,1,272894,70,72,0,2,112,257612,0,1,1,272894,272894,316,0,0,257612,0,0,2,264321,71,1,259205,3,0,1,1530,272894,259205,1,272894,0,251170,3,0,0,70,0,0,4202625,32,4,57,3,238392,50,257612,1,29,251170,3,4,45,0,250,239631,47,72,0,239631,0,1,0,257612,272894,1905,57,0,71,2,4
SC Bastia,97,0,0,1,123,4,0,262342,2,0,0,206,67,2,0,0,2,250,1,216524,-1,1,-1,1,9,66,103,97,250,-1,20000,0,67,525376,0,16078,97,0,216524,64,66,0,1,54,248123,0,1,97,216524,216524,316,0,0,248123,0,0,2,532544,66,0,271010,3,1,1,72,216524,216524,97,271010,0,247369,2,0,0,64,0,0,263232,34,4,58,1,74049,30,248123,97,42,247369,6,4,51,0,250,279016,42,66,0,279016,0,1,0,248123,216524,1905,58,0,66,1,1
En Avant Guingamp,1,0,0,1,23,4,0,225174,2,1,0,250,66,5,0,0,2,1,0,234799,-1,1,-1,1,-3,67,250,1,1,-1,35000,0,66,263170,0,18462,1,250,234799,66,67,0,1,1,266586,0,1,1,234799,234799,316,0,0,266586,0,0,2,532482,67,0,246298,3,0,1,378,234799,246298,1,75252,0,266586,4,0,0,66,0,0,4195330,222,4,62,1,251596,50,266586,1,201,225174,9,4,51,0,1,234799,48,67,0,75252,0,1,0,266586,234799,1912,62,0,67,2,2
RC Lens,1,0,18,1,28,4,0,208787,7,1,0,44,78,2,0,0,2,255,0,204970,-1,2,-1,1,2,77,25,1,1,-1,130000,0,78,66688,0,38223,1,182,204970,77,77,0,2,1,212613,1,1,1,208787,204970,316,0,0,212613,0,0,2,139392,76,1,229236,1,1,2,65,208787,229236,1,204970,0,204970,3,0,0,77,0,0,66688,184,4,64,1,246688,90,212613,1,274,258601,5,4,45,0,213,233866,50,77,0,233866,0,1,0,212613,204970,1906,64,0,76,1,0
LOSC Lille,1,0,13,1,20,4,0,190674,5,1,0,250,77,7,0,0,2,36,0,262088,-1,2,-1,1,3,77,250,1,106,-1,220000,0,77,132104,0,50186,1,250,262088,77,77,0,2,30,276048,0,1,1,262088,262088,316,0,0,276048,0,0,1,4202504,76,4,274447,1,1,4,64,262088,274447,1,253167,0,276048,5,0,0,77,0,0,132104,224,4,65,1,190674,65,276048,1,279,213296,7,4,45,0,32,262088,50,77,0,253167,0,1,0,276048,231318,1944,65,0,76,1,6
OL,1,0,23,1,250,4,0,219683,8,3,0,1,77,9,1,0,2,19,0,265459,-1,2,-1,1,4,77,1,1,127,-1,450000,0,77,132098,0,59186,1,180,265459,76,77,0,2,250,276901,1,1,1,265459,265459,366,0,0,276901,0,0,4,4202498,77,7,272505,1,1,4,1819,265459,219683,1,272505,0,225782,1,0,0,76,0,0,132098,250,4,66,1,80067,65,276901,1,293,219683,6,4,45,0,56,240702,45,77,0,240702,0,1,0,276901,265459,1950,66,0,77,1,5
FC Metz,1,0,0,1,5,4,0,225293,3,1,0,29,72,5,0,0,2,250,0,234239,-1,1,-1,1,6,71,14,1,250,-1,61000,0,72,532608,0,28766,1,112,234239,71,71,0,1,5,225293,0,1,1,234239,234239,316,0,0,225293,0,0,2,528512,70,0,204472,3,1,1,1823,234239,204472,1,245131,0,234239,1,0,0,71,0,0,270464,99,4,68,2,241238,30,225293,1,313,252975,2,4,45,0,250,234239,49,71,0,245131,0,1,0,225293,234239,1932,68,0,70,1,2
AS Monaco,1,0,1,1,35,4,0,229261,3,0,0,64,77,7,0,0,2,250,0,275138,-1,2,-1,1,7,78,33,1,250,-1,500000,0,77,132230,0,18523,1,250,275138,78,78,0,2,30,247463,0,1,1,232440,232440,366,0,0,247463,0,0,2,4202630,77,8,264862,1,0,6,72,232440,232440,1,264862,0,247463,5,0,0,78,0,0,132230,224,4,69,1,245211,65,247463,1,321,75734,8,4,45,0,250,225663,43,78,0,225663,0,1,0,247463,275138,1924,69,0,77,1,5
Montpellier,1,0,0,1,148,4,0,205686,2,1,0,250,67,8,0,0,2,244,0,205686,-1,1,-1,1,3,68,250,1,38,-1,45000,0,67,525312,0,22000,1,250,205686,70,68,0,1,90,223510,0,1,1,205686,205686,316,0,0,223510,0,0,9,532480,69,1,76888,3,1,1,219,205686,76888,1,74883,0,205686,2,0,0,70,0,0,263168,1,4,70,1,74477,30,223510,1,326,72254,9,4,51,0,148,205686,43,68,0,74883,0,1,0,223510,205686,1974,70,0,69,2,2
FC Nantes,1,0,18,1,17,4,0,199482,7,1,0,57,72,7,1,0,2,1,0,258619,-1,2,-1,1,-1,72,221,1,44,-1,95000,0,72,4198657,0,35322,1,254,258619,71,72,0,2,220,241130,0,1,1,258619,258619,316,0,0,241130,0,0,5,264449,72,8,263469,3,1,1,74,258619,263469,1,258619,0,241130,2,0,0,71,0,0,4202753,255,4,71,3,231089,50,241130,1,337,70477,3,4,45,0,87,264422,47,72,0,264422,0,1,0,241130,258619,1943,71,0,72,2,4
OGC Nice,1,0,0,1,1,4,0,210896,6,1,0,27,76,2,1,0,2,1,0,239093,-1,2,-1,1,7,75,18,1,1,-1,220000,0,76,270474,0,35596,1,201,239093,74,75,0,2,1,260407,1,1,1,239093,239093,316,0,0,260407,0,0,2,528522,74,4,244889,3,1,4,69,239093,210896,1,244889,0,256476,4,0,0,74,0,0,263306,204,4,72,2,256476,30,260407,1,344,210896,6,4,45,0,1,244892,43,75,0,244892,0,1,0,260407,239093,1904,72,0,74,2,3
Paris SG,1,1,0,1,116,4,0,235212,10,3,0,250,86,7,1,0,2,200,0,252145,-1,3,-1,1,2,85,250,62,41,-1,3961520,0,86,66180,0,47929,116,250,252145,85,85,0,3,62,247635,0,1,1,255253,255253,366,0,0,247635,0,0,3,73860,86,13,226271,1,1,10,219,231443,226271,116,271421,1,231443,10,0,0,85,0,0,66180,1,4,73,1,272834,90,247635,62,373,255253,10,4,45,0,42,231443,48,85,0,271421,0,1,0,247635,231443,1970,73,0,86,2,16
