position5,offset6y,position1,pos4role,pos5role,offset8x,offset0y,position10,attackers,offset4y,formationname,pos6role,offset8y,offset1y,offset3y,offensiverating,offset5y,position8,offset4x,pos7role,offset0x,defenders,offset6x,position0,position4,position3,offset10y,pos2role,relativeformationid,offset7y,position7,offset7x,pos1role,offset10x,formationaudioid,pos3role,position6,offset9y,teamid,pos9role,offset2y,formationfullnameid,position2,formationid,offset2x,pos10role,position9,offset9x,offset5x,pos8role,offset3x,offset1x,midfielders,pos0role
13,0.500000,3,8386,21314,0.900000,0.020000,27,3.000000,0.220000,4-3-3,21314,0.800000,0.220000,0.150000,3,0.500000,23,0.100000,29570,0.500000,4.000000,0.350000,0,7,6,0.800000,12737,11,0.670000,18,0.500000,8386,0.100000,6,12737,15,0.870000,-1,38405,0.150000,4,4,11,0.650000,33794,25,0.500000,0.650000,33794,0.350000,0.900000,3.000000,4161
9,0.350000,3,8386,17089,0.250000,0.020000,26,2.000000,0.220000,4-2-2-2,17089,0.670000,0.220000,0.150000,2,0.350000,19,0.100000,29570,0.500000,5.000000,0.350000,0,7,6,0.870000,12737,13,0.670000,17,0.750000,8386,0.400000,10,12737,11,0.870000,-1,38405,0.150000,32,4,13,0.650000,38405,24,0.600000,0.650000,29570,0.350000,0.900000,3.000000,4161
10,0.560000,3,8386,17089,0.500000,0.020000,26,2.500000,0.220000,4-1-2-1-2,25602,0.670000,0.220000,0.150000,2,0.330000,18,0.100000,25602,0.500000,4.000000,0.900000,0,7,6,0.870000,12737,14,0.560000,16,0.100000,8386,0.400000,11,12737,12,0.870000,-1,38405,0.150000,10,4,14,0.650000,38405,24,0.600000,0.500000,29570,0.350000,0.900000,3.500000,4161
10,0.500000,3,8386,17089,0.500000,0.020000,26,2.500000,0.220000,4-1-2-1-2,21314,0.670000,0.220000,0.150000,2,0.330000,18,0.100000,21314,0.500000,4.000000,0.650000,0,7,6,0.870000,12737,15,0.500000,15,0.350000,8386,0.400000,11,12737,13,0.870000,-1,38405,0.150000,9,4,15,0.650000,38405,24,0.600000,0.500000,29570,0.350000,0.900000,3.500000,4161
12,0.500000,3,8386,25602,0.100000,0.020000,26,2.000000,0.220000,4-4-2,21314,0.600000,0.220000,0.150000,2,0.600000,16,0.100000,21314,0.500000,4.000000,0.650000,0,7,6,0.850000,12737,16,0.500000,15,0.350000,8386,0.400000,10,12737,13,0.850000,-1,38405,0.150000,11,4,16,0.650000,38405,24,0.600000,0.900000,25602,0.350000,0.900000,4.000000,4161
9,0.350000,3,8386,17089,0.100000,0.020000,26,2.000000,0.220000,4-4-2,17089,0.560000,0.220000,0.150000,2,0.350000,16,0.100000,25602,0.500000,4.000000,0.350000,0,7,6,0.850000,12737,17,0.560000,12,0.900000,8386,0.400000,10,12737,11,0.850000,-1,38405,0.150000,12,4,17,0.650000,38405,24,0.600000,0.650000,25602,0.350000,0.900000,4.000000,4161
12,0.500000,3,8386,25602,0.100000,0.020000,25,1.500000,0.220000,4-4-1-1,21314,0.560000,0.220000,0.150000,2,0.560000,16,0.100000,21314,0.500000,4.000000,0.650000,0,7,6,0.870000,12737,18,0.500000,15,0.350000,8386,0.500000,14,12737,13,0.670000,-1,29570,0.150000,18,4,18,0.650000,38405,18,0.500000,0.900000,25602,0.350000,0.900000,4.500000,4161
12,0.500000,3,8386,25602,0.350000,0.020000,25,1.000000,0.220000,4-5-1,21314,0.500000,0.220000,0.150000,2,0.560000,15,0.100000,21314,0.500000,4.000000,0.650000,0,7,6,0.850000,12737,20,0.480000,14,0.500000,8386,0.500000,15,12737,13,0.560000,-1,25602,0.150000,19,4,20,0.650000,38405,16,0.100000,0.900000,21314,0.350000,0.900000,5.000000,4161
12,0.480000,3,8386,25602,0.750000,0.020000,25,1.000000,0.220000,4-5-1,21314,0.670000,0.220000,0.150000,2,0.530000,17,0.100000,25602,0.500000,4.000000,0.500000,0,7,6,0.870000,12737,21,0.530000,16,0.100000,8386,0.500000,14,12737,14,0.670000,-1,29570,0.150000,15,4,21,0.650000,38405,19,0.250000,0.900000,29570,0.350000,0.900000,5.000000,4161
12,0.500000,4,17089,25602,0.100000,0.020000,26,2.000000,0.350000,3-1-4-2,21314,0.560000,0.150000,0.150000,3,0.560000,16,0.500000,21314,0.500000,3.500000,0.650000,0,10,6,0.850000,12737,22,0.500000,15,0.350000,12737,0.400000,1,12737,13,0.850000,-1,38405,0.175000,28,5,22,0.500000,38405,24,0.600000,0.900000,25602,0.300000,0.700000,4.500000,4161
13,0.500000,4,25602,21314,0.500000,0.020000,26,2.500000,0.560000,3-4-1-2,21314,0.670000,0.150000,0.150000,4,0.500000,18,0.900000,25602,0.500000,3.000000,0.350000,0,12,6,0.870000,12737,23,0.560000,16,0.100000,12737,0.400000,1,12737,15,0.870000,-1,38405,0.175000,29,5,23,0.500000,38405,24,0.600000,0.650000,29570,0.300000,0.700000,4.500000,4161
13,0.500000,4,25602,21314,0.750000,0.020000,25,2.000000,0.560000,3-4-2-1,21314,0.700000,0.150000,0.150000,3,0.500000,17,0.900000,25602,0.500000,3.000000,0.350000,0,12,6,0.870000,12737,24,0.560000,16,0.100000,12737,0.500000,19,12737,15,0.700000,-1,29570,0.175000,21,5,24,0.500000,38405,19,0.250000,0.650000,29570,0.300000,0.700000,5.000000,4161
13,0.500000,4,25602,21314,0.900000,0.020000,27,3.000000,0.560000,3-4-3,21314,0.800000,0.150000,0.150000,4,0.500000,23,0.900000,25602,0.500000,3.000000,0.350000,0,12,6,0.800000,12737,25,0.560000,16,0.100000,12737,0.100000,0,12737,15,0.850000,-1,38405,0.175000,2,5,25,0.500000,33794,25,0.500000,0.650000,33794,0.300000,0.700000,4.000000,4161
11,0.560000,4,17089,17089,0.500000,0.020000,26,2.000000,0.350000,3-5-2,25602,0.620000,0.150000,0.150000,3,0.350000,18,0.650000,25602,0.500000,3.000000,0.900000,0,9,6,0.870000,12737,27,0.560000,16,0.100000,12737,0.400000,1,12737,12,0.870000,-1,38405,0.175000,22,5,27,0.500000,38405,24,0.600000,0.350000,29570,0.300000,0.700000,5.000000,4161
7,0.500000,3,12737,8386,0.500000,0.020000,26,2.000000,0.150000,5-2-1-2,21314,0.670000,0.220000,0.175000,1,0.220000,18,0.300000,21314,0.500000,6.000000,0.650000,0,6,5,0.870000,12737,29,0.500000,15,0.350000,8386,0.400000,4,12737,13,0.870000,-1,38405,0.150000,35,4,29,0.700000,38405,24,0.600000,0.100000,29570,0.500000,0.900000,2.000000,4161
7,0.500000,3,12737,8386,0.900000,0.020000,27,1.000000,0.150000,5-2-3,21314,0.800000,0.220000,0.175000,1,0.220000,23,0.300000,21314,0.500000,6.000000,0.650000,0,6,5,0.800000,12737,30,0.500000,15,0.350000,8386,0.100000,3,12737,13,0.850000,-1,38405,0.150000,36,4,30,0.700000,33794,25,0.500000,0.100000,33794,0.500000,0.900000,3.000000,4161
7,0.330000,3,12737,8386,0.350000,0.020000,26,2.000000,0.150000,5-3-2,17089,0.500000,0.220000,0.175000,1,0.220000,15,0.300000,21314,0.500000,5.000000,0.500000,0,6,5,0.850000,12737,31,0.500000,13,0.650000,8386,0.400000,4,12737,10,0.850000,-1,38405,0.150000,24,4,31,0.700000,38405,24,0.600000,0.100000,21314,0.500000,0.900000,3.000000,4161
7,0.600000,3,12737,8386,0.350000,0.020000,25,1.000000,0.150000,5-4-1,25602,0.500000,0.220000,0.175000,0,0.220000,15,0.300000,21314,0.500000,5.000000,0.900000,0,6,5,0.850000,12737,33,0.500000,13,0.650000,8386,0.500000,5,12737,12,0.600000,-1,25602,0.150000,14,4,33,0.700000,38405,16,0.100000,0.100000,21314,0.500000,0.900000,4.000000,4161
9,0.350000,3,8386,17089,0.900000,0.020000,27,3.000000,0.220000,4-2-1-3,17089,0.800000,0.220000,0.150000,3,0.350000,23,0.100000,29570,0.500000,4.000000,0.350000,0,7,6,0.800000,12737,36,0.670000,18,0.500000,8386,0.100000,18,12737,11,0.870000,-1,38405,0.150000,27,4,36,0.650000,33794,25,0.500000,0.650000,33794,0.350000,0.900000,3.000000,4161
9,0.350000,3,9987,17153,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,18306,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25605,0.500000,5.000000,0.350000,0,7,6,0.870000,12865,4,0.600000,12,0.900000,8450,0.500000,14,12865,11,0.670000,1,29570,0.150000,3,4,37,0.650000,38404,18,0.500000,0.650000,25794,0.350000,0.900000,4.000000,5827
9,0.350000,3,8450,18306,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17155,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25731,0.500000,5.000000,0.350000,0,7,6,0.870000,12865,4,0.600000,12,0.900000,8450,0.500000,14,12865,11,0.670000,2,29576,0.150000,3,4,38,0.650000,38405,18,0.500000,0.650000,25669,0.350000,0.900000,4.000000,4161
7,0.600000,3,12737,8450,0.350000,0.020000,25,1.000000,0.150000,5-4-1,25794,0.500000,0.220000,0.175000,0,0.220000,15,0.300000,21314,0.500000,5.000000,0.900000,0,6,5,0.850000,12737,33,0.500000,13,0.650000,8450,0.500000,5,12737,12,0.600000,3,25794,0.150000,14,4,39,0.700000,38341,16,0.100000,0.100000,21314,0.500000,0.900000,4.000000,4161
9,0.350000,3,8386,17089,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17089,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25794,0.500000,5.000000,0.350000,0,7,6,0.870000,12737,4,0.600000,12,0.900000,8450,0.500000,14,12737,11,0.670000,4,29570,0.150000,3,4,40,0.650000,38213,18,0.500000,0.650000,25602,0.350000,0.900000,4.000000,4161
9,0.350000,3,8514,17155,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17089,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25794,0.500000,5.000000,0.350000,0,7,6,0.870000,12802,4,0.600000,12,0.900000,8581,0.500000,14,12865,11,0.670000,5,29570,0.150000,3,4,41,0.650000,38346,18,0.500000,0.650000,25605,0.350000,0.900000,4.000000,5827
9,0.350000,3,8386,17095,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17153,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25667,0.500000,5.000000,0.350000,0,7,6,0.870000,12737,4,0.600000,12,0.900000,8386,0.500000,14,12737,11,0.670000,7,29570,0.150000,3,4,42,0.650000,38213,18,0.500000,0.650000,25794,0.350000,0.900000,4.000000,5827
7,0.330000,3,12865,8581,0.350000,0.020000,26,2.000000,0.150000,5-3-2,17153,0.500000,0.220000,0.175000,1,0.220000,15,0.300000,21314,0.500000,5.000000,0.500000,0,6,5,0.850000,12737,31,0.500000,13,0.650000,8581,0.400000,4,12802,10,0.850000,8,38341,0.150000,24,4,43,0.700000,38410,24,0.600000,0.100000,21314,0.500000,0.900000,3.000000,4161
9,0.350000,3,8450,18306,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17160,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25797,0.500000,5.000000,0.350000,0,7,6,0.870000,12865,4,0.600000,12,0.900000,8581,0.500000,14,12865,11,0.670000,9,29576,0.150000,3,4,44,0.650000,38341,18,0.500000,0.650000,25794,0.350000,0.900000,4.000000,5827
9,0.350000,3,9989,18306,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17155,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25797,0.500000,5.000000,0.350000,0,7,6,0.870000,12865,4,0.600000,12,0.900000,8581,0.500000,14,12865,11,0.670000,10,29640,0.150000,3,4,45,0.650000,38405,18,0.500000,0.650000,25605,0.350000,0.900000,4.000000,5827
9,0.350000,3,8450,17095,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,18306,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25605,0.500000,5.000000,0.350000,0,7,6,0.870000,12865,4,0.600000,12,0.900000,8450,0.500000,14,12865,11,0.670000,11,29576,0.150000,3,4,46,0.650000,38341,18,0.500000,0.650000,25797,0.350000,0.900000,4.000000,5827
9,0.350000,3,8386,17089,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17089,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25602,0.500000,5.000000,0.350000,0,7,6,0.870000,12737,4,0.600000,12,0.900000,8581,0.500000,14,12737,11,0.670000,12,29570,0.150000,3,4,47,0.650000,38341,18,0.500000,0.650000,25794,0.350000,0.900000,4.000000,4161
10,0.500000,3,8450,17096,0.900000,0.020000,27,3.000000,0.220000,4-3-3,21314,0.800000,0.220000,0.150000,3,0.330000,23,0.100000,21319,0.500000,4.000000,0.650000,0,7,6,0.800000,12865,9,0.500000,15,0.350000,8450,0.100000,6,12737,13,0.850000,13,38404,0.150000,7,4,48,0.650000,33986,25,0.500000,0.500000,33986,0.350000,0.900000,3.000000,4226
9,0.350000,3,8386,17153,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,18306,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25669,0.500000,5.000000,0.350000,0,7,6,0.870000,12737,4,0.600000,12,0.900000,8386,0.500000,14,12870,11,0.670000,14,29576,0.150000,3,4,49,0.650000,38213,18,0.500000,0.650000,25794,0.350000,0.900000,4.000000,4161
12,0.500000,3,8581,25602,0.100000,0.020000,26,2.000000,0.220000,4-4-2,21314,0.600000,0.220000,0.150000,2,0.600000,16,0.100000,21185,0.500000,4.000000,0.650000,0,7,6,0.850000,12737,16,0.500000,15,0.350000,8513,0.400000,10,12737,13,0.850000,15,38405,0.150000,11,4,50,0.650000,38405,24,0.600000,0.900000,25602,0.350000,0.900000,4.000000,4161
9,0.350000,3,9987,17089,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17089,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25602,0.500000,5.000000,0.350000,0,7,6,0.870000,12737,4,0.600000,12,0.900000,8581,0.500000,14,12737,11,0.670000,17,29570,0.150000,3,4,51,0.650000,38405,18,0.500000,0.650000,25794,0.350000,0.900000,4.000000,4161
9,0.350000,3,8450,17095,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17089,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25794,0.500000,5.000000,0.350000,0,7,6,0.870000,12802,4,0.600000,12,0.900000,8450,0.500000,14,12865,11,0.670000,18,29570,0.150000,3,4,52,0.650000,38341,18,0.500000,0.650000,25794,0.350000,0.900000,4.000000,4226
12,0.500000,3,8450,25794,0.100000,0.020000,26,2.000000,0.220000,4-4-2,21191,0.600000,0.220000,0.150000,2,0.600000,16,0.100000,21314,0.500000,4.000000,0.650000,0,7,6,0.850000,12737,16,0.500000,15,0.350000,8450,0.400000,10,12737,13,0.850000,19,38405,0.150000,11,4,53,0.650000,38275,24,0.600000,0.900000,25605,0.350000,0.900000,4.000000,4161
9,0.350000,3,8394,17160,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17153,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25794,0.500000,5.000000,0.350000,0,7,6,0.870000,12870,4,0.600000,12,0.900000,8452,0.500000,14,12738,11,0.670000,21,29957,0.150000,3,4,54,0.650000,38404,18,0.500000,0.650000,25797,0.350000,0.900000,4.000000,5827
13,0.500000,4,25729,21191,0.750000,0.020000,25,2.000000,0.560000,3-4-2-1,21314,0.700000,0.150000,0.150000,3,0.500000,17,0.900000,25729,0.500000,3.000000,0.350000,0,12,6,0.870000,12867,24,0.560000,16,0.100000,12870,0.500000,19,12870,15,0.700000,22,29957,0.175000,21,5,55,0.500000,38346,19,0.250000,0.650000,29576,0.300000,0.700000,5.000000,4162
13,0.500000,4,25729,21319,0.750000,0.020000,25,2.000000,0.560000,3-4-2-1,21185,0.700000,0.150000,0.150000,3,0.500000,17,0.900000,25732,0.500000,3.000000,0.350000,0,12,6,0.870000,12737,24,0.560000,16,0.100000,12865,0.500000,19,12865,15,0.700000,23,29571,0.175000,21,5,56,0.500000,38213,19,0.250000,0.650000,29637,0.300000,0.700000,5.000000,4161
9,0.350000,3,8450,17089,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,18306,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25602,0.500000,5.000000,0.350000,0,7,6,0.870000,12737,4,0.600000,12,0.900000,8452,0.500000,14,12737,11,0.670000,25,29957,0.150000,3,4,57,0.650000,38213,18,0.500000,0.650000,25667,0.350000,0.900000,4.000000,5827
10,0.500000,3,8581,17089,0.900000,0.020000,27,3.000000,0.220000,4-3-3,21251,0.800000,0.220000,0.150000,3,0.330000,23,0.100000,21319,0.500000,4.000000,0.650000,0,7,6,0.800000,12802,9,0.500000,15,0.350000,8581,0.100000,6,12802,13,0.850000,27,38213,0.150000,7,4,58,0.650000,33986,25,0.500000,0.500000,33859,0.350000,0.900000,3.000000,5827
13,0.500000,4,25729,21251,0.500000,0.020000,26,2.500000,0.560000,3-4-1-2,21191,0.670000,0.150000,0.150000,4,0.500000,18,0.900000,25729,0.500000,3.000000,0.350000,0,12,6,0.870000,12870,23,0.560000,16,0.100000,12806,0.400000,1,12802,15,0.870000,28,38213,0.175000,29,5,59,0.500000,38341,24,0.600000,0.650000,29570,0.300000,0.700000,4.500000,5827
13,0.500000,4,25732,21191,0.750000,0.020000,25,2.000000,0.560000,3-4-2-1,21319,0.700000,0.150000,0.150000,3,0.500000,17,0.900000,25602,0.500000,3.000000,0.350000,0,12,6,0.870000,12802,24,0.560000,16,0.100000,12865,0.500000,19,14145,15,0.700000,29,29570,0.175000,21,5,60,0.500000,38405,19,0.250000,0.650000,29576,0.300000,0.700000,5.000000,5827
9,0.350000,3,8386,17155,0.100000,0.020000,26,2.000000,0.220000,4-4-2,17095,0.560000,0.220000,0.150000,2,0.350000,16,0.100000,25732,0.500000,4.000000,0.350000,0,7,6,0.850000,12737,17,0.560000,12,0.900000,8386,0.400000,10,12802,11,0.850000,31,38213,0.150000,12,4,61,0.650000,38277,24,0.600000,0.650000,25731,0.350000,0.900000,4.000000,5827
13,0.500000,4,25729,21251,0.750000,0.020000,25,2.000000,0.560000,3-4-2-1,21319,0.700000,0.150000,0.150000,3,0.500000,17,0.900000,25731,0.500000,3.000000,0.350000,0,12,6,0.870000,12806,24,0.560000,16,0.100000,12806,0.500000,19,14148,15,0.700000,32,29957,0.175000,21,5,62,0.500000,38213,19,0.250000,0.650000,29576,0.300000,0.700000,5.000000,5827
13,0.500000,4,25602,21314,0.750000,0.020000,25,2.000000,0.560000,3-4-2-1,21314,0.700000,0.150000,0.150000,3,0.500000,17,0.900000,25602,0.500000,3.000000,0.350000,0,12,6,0.870000,12802,24,0.560000,16,0.100000,12737,0.500000,19,14145,15,0.700000,33,29570,0.175000,21,5,63,0.500000,38405,19,0.250000,0.650000,29570,0.300000,0.700000,5.000000,5827
9,0.350000,3,8450,17089,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17155,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25794,0.500000,5.000000,0.350000,0,7,6,0.870000,12802,4,0.600000,12,0.900000,8386,0.500000,14,12865,11,0.670000,34,29570,0.150000,3,4,64,0.650000,38405,18,0.500000,0.650000,25667,0.350000,0.900000,4.000000,4226
9,0.350000,3,8452,17089,0.100000,0.020000,25,1.000000,0.220000,4-2-3-1,17155,0.600000,0.220000,0.150000,2,0.350000,16,0.100000,25797,0.500000,5.000000,0.350000,0,7,6,0.870000,12865,4,0.600000,12,0.900000,8450,0.500000,14,12802,11,0.670000,36,29957,0.150000,3,4,65,0.650000,38213,18,0.500000,0.650000,25797,0.350000,0.900000,4.000000,5827
10,0.500000,3,8450,17089,0.900000,0.020000,27,3.000000,0.220000,4-3-3,21314,0.800000,0.220000,0.150000,3,0.330000,23,0.100000,21381,0.500000,4.000000,0.650000,0,7,6,0.800000,12802,9,0.500000,15,0.350000,8580,0.100000,6,12737,13,0.850000,38,38405,0.150000,7,4,66,0.650000,33861,25,0.500000,0.500000,33989,0.350000,0.900000,3.000000,5827
13,0.500000,4,25794,21249,0.750000,0.020000,25,2.000000,0.560000,3-4-2-1,21314,0.700000,0.150000,0.150000,3,0.500000,17,0.900000,25667,0.500000,3.000000,0.350000,0,12,6,0.870000,12802,24,0.560000,16,0.100000,12865,0.500000,19,14145,15,0.700000,45,29634,0.175000,21,5,67,0.500000,38405,19,0.250000,0.650000,29634,0.300000,0.700000,5.000000,5827
13,0.500000,4,25794,21381,0.750000,0.020000,25,2.000000,0.560000,3-4-2-1,21314,0.700000,0.150000,0.150000,3,0.500000,17,0.900000,25794,0.500000,3.000000,0.350000,0,12,6,0.870000,12802,24,0.560000,16,0.100000,12865,0.500000,19,12737,15,0.700000,48,29957,0.175000,21,5,68,0.500000,38341,19,0.250000,0.650000,30341,0.300000,0.700000,5.000000,5827
7,0.330000,3,12737,8450,0.350000,0.020000,26,2.000000,0.150000,5-3-2,17089,0.500000,0.220000,0.175000,1,0.220000,15,0.300000,21381,0.500000,5.000000,0.500000,0,6,5,0.850000,12737,31,0.500000,13,0.650000,8386,0.400000,4,12737,10,0.850000,50,38405,0.150000,24,4,69,0.700000,38275,24,0.600000,0.100000,21314,0.500000,0.900000,3.000000,5827
13,0.500000,4,25602,21251,0.750000,0.020000,25,2.000000,0.560000,3-4-2-1,21314,0.700000,0.150000,0.150000,3,0.500000,17,0.900000,25602,0.500000,3.000000,0.350000,0,12,6,0.870000,12737,24,0.560000,16,0.100000,14145,0.500000,19,12865,15,0.700000,52,29570,0.175000,21,5,70,0.500000,38275,19,0.250000,0.650000,29570,0.300000,0.700000,5.000000,5827
7,0.330000,3,12737,8450,0.350000,0.020000,26,2.000000,0.150000,5-3-2,17089,0.500000,0.220000,0.175000,1,0.220000,15,0.300000,21381,0.500000,5.000000,0.500000,0,6,5,0.850000,12737,31,0.500000,13,0.650000,8450,0.400000,4,12737,10,0.850000,54,38213,0.150000,24,4,71,0.700000,38405,24,0.600000,0.100000,21442,0.500000,0.900000,3.000000,5827
7,0.330000,3,14145,8450,0.350000,0.020000,26,2.000000,0.150000,5-3-2,17089,0.500000,0.220000,0.175000,1,0.220000,15,0.300000,21442,0.500000,5.000000,0.500000,0,6,5,0.850000,14145,31,0.500000,13,0.650000,8450,0.400000,4,12737,10,0.850000,55,38275,0.150000,24,4,72,0.700000,38213,24,0.600000,0.100000,21442,0.500000,0.900000,3.000000,4161
10,0.600000,3,8450,17089,0.350000,0.020000,25,1.000000,0.220000,4-1-4-1,25794,0.500000,0.220000,0.150000,2,0.330000,15,0.100000,21314,0.500000,4.500000,0.900000,0,7,6,0.850000,12737,2,0.500000,13,0.650000,8581,0.500000,15,12802,12,0.600000,57,25602,0.150000,31,4,73,0.650000,38341,16,0.100000,0.500000,21314,0.350000,0.900000,4.500000,4226
7,0.330000,3,12802,8450,0.350000,0.020000,26,2.000000,0.150000,5-3-2,17089,0.500000,0.220000,0.175000,1,0.220000,15,0.300000,21185,0.500000,5.000000,0.500000,0,6,5,0.850000,12865,31,0.500000,13,0.650000,8450,0.400000,4,12737,10,0.850000,58,38341,0.150000,24,4,74,0.700000,38405,24,0.600000,0.100000,21314,0.500000,0.900000,3.000000,4161
