jerseynumber,artificialkey,leaguegoalsprevmatch,isamongtopscorers,leaguegoals,injury,istopscorer,leaguegoalsprevthreematches,reds,yellows,teamid,isamongtopscorersinteam,form,leagueappearances,position,playerid
4,33,0,0,1,0,0,0,0,0,270,1,3,0,6,266890
2,34,0,0,0,0,0,0,0,0,270,0,3,0,7,236875
7,35,0,0,0,0,0,0,0,0,270,0,3,0,13,278363
6,36,0,0,0,0,0,0,0,0,270,0,3,0,14,264517
20,37,0,0,0,0,0,0,0,0,270,0,3,0,15,243891
17,38,0,1,8,0,0,0,0,0,270,1,3,0,17,243666
10,39,0,0,2,0,0,0,0,0,270,1,3,0,19,262538
23,40,0,1,8,0,0,1,0,0,270,1,3,0,25,271320
8,41,0,0,0,0,0,0,0,0,270,0,3,0,28,216286
36,42,0,0,0,0,0,0,0,0,270,0,3,0,28,73641
24,43,0,0,0,0,0,0,0,0,270,0,3,0,28,73988
15,44,0,0,0,0,0,0,0,0,270,0,3,0,28,257628
30,45,0,0,0,0,0,0,0,0,270,0,3,0,28,265179
22,46,0,0,0,0,0,0,0,0,270,0,3,0,28,247658
14,47,0,0,0,0,0,0,0,0,270,0,3,0,28,262537
11,48,0,0,0,0,0,0,0,0,270,0,3,0,28,264670
9,49,0,0,0,0,0,0,0,0,270,0,3,0,28,267783
33,50,0,0,0,0,0,0,0,0,270,0,3,0,28,73644
40,51,0,0,1,0,0,0,0,0,270,1,3,0,28,262588
27,52,0,0,0,0,0,0,0,0,270,0,3,0,28,83799
26,53,0,0,0,0,0,0,0,0,270,0,3,0,29,79957
28,54,0,0,0,0,0,0,0,0,270,0,3,0,29,79956
16,55,0,0,0,0,0,0,0,0,270,0,3,0,29,79551
25,56,0,0,0,0,0,0,0,0,270,0,3,0,29,252737
1,57,0,0,0,0,0,0,0,0,271,0,3,0,0,132740
2,58,0,0,2,0,0,0,0,0,271,0,3,0,4,238222
3,59,0,0,0,0,0,0,0,0,271,0,3,0,5,190633
19,60,0,0,0,0,0,0,0,0,271,0,3,0,6,253472
31,61,0,1,10,0,0,0,0,0,271,1,3,0,23,256746
29,62,2,0,5,0,0,2,0,0,271,1,3,0,12,250854
4,63,0,0,0,0,0,0,0,0,271,0,3,0,13,248175
17,64,0,0,3,0,0,2,0,0,271,1,3,0,15,243539
11,65,0,0,3,0,0,1,0,0,271,1,3,0,16,253409
10,66,0,1,9,0,0,3,0,0,271,1,3,0,27,251201
9,67,0,0,7,0,0,0,0,0,271,1,3,0,25,191083
6,68,0,0,1,0,0,0,0,0,271,0,3,0,28,213530
7,69,0,0,2,0,0,0,0,0,271,0,3,0,28,260149
5,70,0,0,0,0,0,0,0,0,271,0,3,0,28,231828
40,71,0,0,0,0,0,0,0,0,271,0,3,0,28,261670
21,72,0,0,0,0,0,0,0,0,271,0,3,0,28,240489
8,73,0,0,0,0,0,0,0,0,271,0,3,0,28,250855
39,74,0,0,2,0,0,0,0,0,271,0,3,0,28,77729
27,75,0,0,1,0,0,0,0,0,271,0,3,0,28,79548
13,76,0,0,1,0,0,0,0,0,271,0,3,0,28,232225
14,77,0,0,0,0,0,0,0,0,271,0,3,0,28,243886
26,78,0,0,0,0,0,0,0,0,271,0,3,0,28,268506
20,79,0,0,0,0,0,0,0,0,271,0,3,0,28,81762
43,80,0,0,0,0,0,0,0,0,271,0,3,0,29,78906
57,81,0,0,0,0,0,0,0,0,271,0,3,0,29,83694
16,82,0,0,0,0,0,0,0,0,272,0,3,0,0,220584
20,83,0,0,1,0,0,0,0,0,272,0,3,0,3,232311
5,84,0,0,2,0,0,0,0,0,272,1,3,0,4,224426
13,85,0,0,0,0,0,0,0,0,272,0,3,0,6,78629
3,86,0,0,1,0,0,0,0,0,272,0,3,0,7,242712
18,87,0,0,1,0,0,0,0,0,272,0,3,0,12,271079
8,88,0,0,0,0,0,0,0,0,272,0,3,0,13,201303
22,89,0,0,0,0,0,0,0,0,272,0,3,0,15,81291
7,90,0,1,8,0,0,0,0,0,272,1,3,0,16,239981
17,91,0,1,10,0,0,1,0,0,272,1,3,0,24,276272
31,92,0,0,7,0,0,1,0,0,272,1,3,0,26,230561
4,93,0,0,1,0,0,0,0,0,272,0,3,0,28,198538
15,94,0,0,0,0,0,0,0,0,272,0,3,0,28,78630
29,95,0,0,1,0,0,0,0,0,272,0,3,0,28,256855
24,96,0,0,0,0,0,0,0,0,272,0,3,0,28,70125
30,97,0,0,0,0,0,0,0,0,272,0,3,0,28,262056
14,98,0,0,0,0,0,0,0,0,272,0,3,0,28,248493
23,99,0,0,0,0,0,0,0,0,272,0,3,0,28,78632
10,100,0,0,0,0,0,0,0,0,272,0,3,0,28,263310
11,101,0,0,3,0,0,1,0,0,272,1,3,0,28,274264
1,102,0,0,0,0,0,0,0,0,272,0,3,0,28,184040
28,103,0,0,0,0,0,0,0,0,272,0,3,0,28,79549
6,104,0,0,0,0,0,0,0,0,272,0,3,0,28,256741
21,105,0,0,0,0,0,0,0,0,272,0,3,0,29,81623
26,106,0,0,0,0,0,0,0,0,272,0,3,0,29,82787
19,107,0,0,0,0,0,0,0,0,272,0,3,0,29,204193
27,108,0,0,0,0,0,0,0,0,272,0,3,0,29,79553
25,109,0,0,0,0,0,0,0,0,272,0,3,0,29,81296
1,110,0,0,0,0,0,0,0,0,819,0,3,0,0,246267
20,111,0,0,1,0,0,0,0,0,819,0,3,0,3,266260
5,112,0,0,1,0,0,0,0,0,819,0,3,0,4,274187
25,113,0,0,0,0,0,0,0,0,819,0,3,0,6,183491
15,114,0,0,1,0,0,0,0,0,819,0,3,0,7,246014
11,115,0,0,6,0,0,1,0,0,819,1,3,0,12,224389
21,116,1,0,1,0,0,1,0,0,819,0,3,0,13,235636
27,117,0,0,0,0,0,0,0,0,819,0,3,0,15,193283
30,118,0,0,3,0,0,0,0,0,819,1,3,0,16,263672
9,119,0,0,3,0,0,0,0,0,819,1,3,0,24,240833
10,120,0,0,6,0,0,1,0,0,819,1,3,0,26,203362
36,121,0,0,0,0,0,0,0,0,819,0,3,0,28,271980
6,122,0,0,2,0,0,1,0,0,819,0,3,0,28,229150
17,123,0,0,0,0,0,0,0,0,819,0,3,0,28,234573
24,124,0,0,0,0,0,0,0,0,819,0,3,0,28,219466
31,125,0,0,0,0,0,0,0,0,819,0,3,0,28,222562
23,126,0,0,0,0,0,0,0,0,819,0,3,0,28,262236
16,127,0,0,2,0,0,0,0,0,819,0,3,0,28,74233
39,128,0,0,0,0,0,0,0,0,819,0,3,0,28,81621
7,129,0,0,3,0,0,0,0,0,819,1,3,0,28,207554
14,130,0,0,0,0,0,0,0,0,819,0,3,0,28,201943
8,131,0,0,2,0,0,0,0,0,819,0,3,0,28,240974
13,132,0,0,0,0,0,0,0,0,819,0,3,0,28,263711
61,133,0,0,0,0,0,0,0,0,819,0,3,0,29,79407
38,134,0,0,0,0,0,0,0,0,819,0,3,0,29,73448
18,135,0,0,0,0,0,0,0,0,819,0,3,0,29,83208
29,136,0,0,0,0,0,0,0,0,819,0,3,0,29,79034
26,137,0,0,0,0,0,0,0,0,819,0,3,0,29,79165
44,138,0,0,0,0,0,0,0,0,819,0,3,0,29,83720
1,139,0,0,0,0,0,0,0,0,822,0,3,0,0,262295
2,140,0,0,0,0,0,0,0,0,822,0,3,0,3,243866
13,141,1,0,4,0,0,1,0,0,822,1,3,0,4,255211
4,142,0,0,0,0,0,0,0,0,822,0,3,0,5,177373
5,143,0,0,0,0,0,0,0,0,822,0,3,0,6,259763
3,144,0,0,0,0,0,0,0,0,822,0,3,0,7,204017
6,145,0,0,0,0,0,0,0,0,822,0,3,0,10,77090
17,146,0,0,2,0,0,0,0,0,822,1,3,0,13,217845
30,147,0,0,0,0,0,0,0,0,822,0,3,0,15,259134
19,148,0,0,1,0,0,0,0,0,822,1,3,0,24,257399
7,149,0,0,6,0,0,0,0,0,822,1,3,0,26,264822
16,150,0,0,1,0,0,0,0,0,822,1,3,0,28,70164
8,151,0,0,0,0,0,0,0,0,822,0,3,0,28,275703
23,152,0,0,0,0,0,0,0,0,822,0,3,0,28,278362
21,153,0,0,1,0,0,0,0,0,822,1,3,0,28,81288
24,154,0,0,0,0,0,0,0,0,822,0,3,0,28,264111
10,155,0,0,5,0,0,2,0,0,822,1,3,0,28,225931
80,156,0,0,0,0,0,0,0,0,822,0,3,0,28,248118
20,157,0,0,1,0,0,0,0,0,822,1,3,0,28,79859
32,158,0,0,1,0,0,1,0,0,822,1,3,0,28,79554
11,159,0,0,0,0,0,0,0,0,822,0,3,0,28,241695
9,160,0,0,1,0,0,0,0,0,822,1,3,0,28,260825
36,161,0,0,0,0,0,0,0,0,822,0,3,0,28,81848
26,162,0,0,0,0,0,0,0,0,822,0,3,0,29,77395
18,163,0,0,1,0,0,0,0,0,822,1,3,0,29,184143
15,164,0,0,0,0,0,0,0,0,822,0,3,0,29,70852
14,165,0,0,0,0,0,0,0,0,822,0,3,0,29,223813
25,166,0,0,0,0,0,0,0,0,822,0,3,0,29,84087
34,167,0,0,0,0,0,0,0,0,822,0,3,0,29,246647
33,168,0,0,0,0,0,0,0,0,822,0,3,0,29,70445
28,169,0,0,0,0,0,0,0,0,822,0,3,0,29,83319
27,170,0,0,0,0,0,0,0,0,822,0,3,0,29,80324
1,171,0,0,0,0,0,0,0,0,1443,0,3,0,0,256742
18,172,0,0,0,0,0,0,0,0,1443,0,3,0,3,241150
32,173,0,0,0,0,0,0,0,0,1443,0,3,0,4,278367
24,174,0,0,0,0,0,0,0,0,1443,0,3,0,6,234501
30,175,0,0,3,0,0,1,0,0,1443,1,3,0,7,277593
13,176,0,0,1,0,0,0,0,0,1443,0,3,0,10,215686
11,177,0,0,5,0,0,0,0,0,1443,1,3,0,23,270399
10,178,0,0,3,0,0,0,0,0,1443,1,3,0,13,71174
6,179,0,0,5,0,0,0,0,0,1443,1,3,0,15,262541
29,180,1,0,1,0,0,1,0,0,1443,0,3,0,27,79935
19,181,0,0,1,0,0,1,0,0,1443,0,3,0,25,79811
4,182,0,0,1,0,0,0,0,0,1443,0,3,0,28,242381
55,183,0,0,1,0,0,0,0,0,1443,0,3,0,28,260874
5,184,0,0,0,0,0,0,0,0,1443,0,3,0,28,270528
26,185,1,0,1,0,0,1,0,0,1443,0,3,0,28,74932
16,186,0,0,0,0,0,0,0,0,1443,0,3,0,28,275696
21,187,0,0,2,0,0,0,0,0,1443,0,3,0,28,263987
8,188,0,0,0,0,0,0,0,0,1443,0,3,0,28,268503
7,189,0,0,2,0,0,0,0,0,1443,0,3,0,28,277167
9,190,0,0,4,0,0,0,0,0,1443,1,3,0,28,243229
33,191,0,0,0,0,0,0,0,0,1443,0,3,0,28,278816
14,192,0,0,0,0,0,0,0,0,1443,0,3,0,28,277698
23,193,0,0,0,0,0,0,0,0,1443,0,3,0,28,250960
17,194,0,0,1,0,0,1,0,0,1443,0,3,0,29,83297
31,195,0,0,0,0,0,0,0,0,1443,0,3,0,29,78911
36,196,0,0,0,0,0,0,0,0,1443,0,3,0,29,82680
16,197,0,0,0,0,0,0,0,0,1447,0,3,0,0,248696
22,198,0,0,0,0,0,0,0,0,1447,0,3,0,3,207886
5,199,0,0,2,0,0,0,0,0,1447,0,3,0,4,256222
12,200,0,0,3,0,0,0,0,0,1447,1,3,0,6,264502
4,201,0,0,2,0,0,0,0,0,1447,0,3,0,7,226510
6,202,0,0,1,0,0,0,0,0,1447,0,3,0,9,238051
26,203,0,0,0,0,0,0,0,0,1447,0,3,0,11,256847
15,204,0,0,5,0,0,1,0,0,1447,1,3,0,12,259130
11,205,0,0,3,0,0,0,0,0,1447,1,3,0,16,276666
31,206,0,0,3,0,0,0,0,0,1447,1,3,0,18,73501
9,207,1,0,4,0,0,1,0,0,1447,1,3,0,25,259751
7,208,0,0,0,0,0,0,0,0,1447,0,3,0,28,73301
21,209,0,0,0,0,0,0,0,0,1447,0,3,0,28,72400
3,210,0,0,0,0,0,0,0,0,1447,0,3,0,28,73295
23,211,0,0,0,0,0,0,0,0,1447,0,3,0,28,74965
1,212,0,0,0,0,0,0,0,0,1447,0,3,0,28,211105
20,213,0,0,0,0,0,0,0,0,1447,0,3,0,28,248360
13,214,0,0,0,0,0,0,0,0,1447,0,3,0,28,264691
29,215,0,0,0,0,0,0,0,0,1447,0,3,0,28,78909
24,216,0,0,2,0,0,1,0,0,1447,0,3,0,28,73504
27,217,0,0,0,0,0,0,0,0,1447,0,3,0,28,77226
19,218,0,0,0,0,0,0,0,0,1447,0,3,0,28,79558
28,219,0,0,0,0,0,0,0,0,1447,0,3,0,28,76148
17,220,0,0,0,0,0,0,0,0,1447,0,3,0,29,81624
16,221,0,0,0,0,0,0,0,0,1516,0,3,0,0,246704
4,222,0,0,1,0,0,0,0,0,1516,0,3,0,4,73645
3,223,0,0,0,0,0,0,0,0,1516,0,3,0,5,261062
22,224,0,0,2,0,0,0,0,0,1516,0,3,0,6,234472
11,225,0,0,4,0,0,0,0,0,1516,1,3,0,12,278012
19,226,0,0,0,0,0,0,0,0,1516,0,3,0,13,263721
8,227,0,0,2,0,0,1,0,0,1516,0,3,0,15,220714
55,228,0,0,1,0,0,0,0,0,1516,0,3,0,16,270534
10,229,0,0,3,0,0,0,0,0,1516,0,3,0,18,247686
74,230,0,0,5,0,0,4,0,0,1516,1,3,0,24,247187
58,231,0,1,8,0,0,2,0,0,1516,1,3,0,26,256933
21,232,0,0,4,0,0,1,0,0,1516,1,3,0,28,277197
6,233,0,0,1,0,0,0,0,0,1516,0,3,0,28,244456
43,234,0,0,0,0,0,0,0,0,1516,0,3,0,28,210625
29,235,0,0,1,0,0,0,0,0,1516,0,3,0,28,251847
1,236,0,0,0,0,0,0,0,0,1516,0,3,0,28,172553
41,237,0,0,2,0,0,0,0,0,1516,0,3,0,28,279252
20,238,0,0,5,0,0,0,0,0,1516,1,3,0,28,270536
14,239,0,0,0,0,0,0,0,0,1516,0,3,0,28,242612
7,240,0,1,16,0,1,0,0,0,1516,1,3,0,28,277211
30,241,0,0,0,0,0,0,0,0,1516,0,3,0,28,74006
13,242,0,0,1,0,0,0,0,0,1516,0,3,0,28,264790
17,243,0,0,0,0,0,0,0,0,1516,0,3,0,28,213815
39,244,0,0,0,0,0,0,0,0,1516,0,3,0,29,277270
38,245,0,0,0,0,0,0,0,0,1516,0,3,0,29,83798
35,246,0,0,0,0,0,0,0,0,1516,0,3,0,29,75195
33,247,0,0,0,0,0,0,0,0,1516,0,3,0,29,278978
31,248,0,0,0,0,0,0,0,0,1516,0,3,0,29,80421
60,249,0,0,0,0,0,0,0,0,1516,0,3,0,29,271697
1,250,0,0,0,0,0,0,0,0,1786,0,3,0,0,204424
24,251,0,0,1,0,0,0,0,0,1786,1,3,0,3,277843
3,252,0,0,3,0,0,0,0,0,1786,1,3,0,4,201301
4,253,1,0,1,0,0,1,0,0,1786,1,3,0,6,223566
44,254,0,0,1,0,0,0,0,0,1786,1,3,0,7,251595
11,255,0,0,2,0,0,1,0,0,1786,1,3,0,12,258977
8,256,0,0,0,0,0,0,0,0,1786,0,3,0,13,277844
6,257,0,0,1,0,0,1,0,0,1786,1,3,0,15,246434
17,258,1,0,1,0,0,1,0,0,1786,1,3,0,16,224483
7,259,0,0,0,0,0,0,0,0,1786,0,3,0,18,71258
10,260,0,0,1,0,0,1,0,0,1786,1,3,0,25,228431
14,261,0,0,0,0,0,0,0,0,1786,0,3,0,28,229504
38,262,0,0,0,0,0,0,0,0,1786,0,3,0,28,80083
2,263,0,0,0,0,0,0,0,0,1786,0,3,0,28,256082
15,264,0,0,0,0,0,0,0,0,1786,0,3,0,28,266284
32,265,0,0,0,0,0,0,0,0,1786,0,3,0,28,210642
28,266,0,0,0,0,0,0,0,0,1786,0,3,0,28,210646
25,267,0,0,0,0,0,0,0,0,1786,0,3,0,28,81416
9,268,0,0,0,0,0,0,0,0,1786,0,3,0,28,270471
19,269,0,0,0,0,0,0,0,0,1786,0,3,0,28,271988
22,270,0,0,0,0,0,0,0,0,1786,0,3,0,28,80289
33,271,0,0,0,0,0,0,0,0,1786,0,3,0,28,83797
23,272,0,0,0,0,0,0,0,0,1786,0,3,0,28,83659
5,273,0,0,0,0,0,0,0,0,1786,0,3,0,29,272385
30,274,0,0,0,0,0,0,0,0,1786,0,3,0,29,268273
21,275,0,0,0,0,0,0,0,0,1786,0,3,0,29,235904
13,276,0,0,0,0,0,0,0,0,1788,0,3,0,0,210715
25,277,0,0,1,0,0,0,0,0,1788,0,3,0,3,77520
2,278,0,0,3,0,0,0,0,0,1788,1,3,0,4,208564
3,279,0,0,1,0,0,0,0,0,1788,0,3,0,5,227520
36,280,0,0,2,0,0,0,0,0,1788,0,3,0,6,73638
23,281,0,0,3,0,0,1,0,0,1788,1,3,0,7,262173
9,282,0,0,6,0,0,1,0,0,1788,1,3,0,23,242090
6,283,0,0,0,0,0,0,0,0,1788,0,3,0,13,231233
8,284,0,0,2,0,0,1,0,0,1788,0,3,0,15,238132
10,285,0,0,6,0,0,1,0,0,1788,1,3,0,27,77652
11,286,0,0,5,0,0,1,0,0,1788,1,3,0,25,256778
18,287,0,0,2,0,0,0,0,0,1788,0,3,0,28,74229
47,288,0,0,0,0,0,0,0,0,1788,0,3,0,28,79555
45,289,0,0,0,0,0,0,0,0,1788,0,3,0,28,73643
15,290,0,0,0,0,0,0,0,0,1788,0,3,0,28,77605
22,291,0,0,0,0,0,0,0,0,1788,0,3,0,28,257921
37,292,1,0,1,0,0,1,0,0,1788,0,3,0,28,82892
29,293,0,0,0,0,0,0,0,0,1788,0,3,0,28,77555
14,294,0,0,0,0,0,0,0,0,1788,0,3,0,28,81958
17,295,0,0,2,0,0,0,0,0,1788,0,3,0,28,73636
16,296,0,0,0,0,0,0,0,0,1788,0,3,0,28,209957
40,297,0,0,0,0,0,0,0,0,1788,0,3,0,28,79852
28,298,0,0,0,0,0,0,0,0,1788,0,3,0,28,77545
32,299,0,0,0,0,0,0,0,0,1788,0,3,0,29,81693
33,300,0,0,0,0,0,0,0,0,1788,0,3,0,29,80323
20,301,0,0,0,0,0,0,0,0,1788,0,3,0,29,71342
35,302,0,0,0,0,0,0,0,0,1788,0,3,0,29,81690
39,303,0,0,0,0,0,0,0,0,1788,0,3,0,29,80737
27,304,0,0,0,0,0,0,0,0,1788,0,3,0,29,74914
90,305,0,0,0,0,0,0,0,0,15006,0,3,0,0,262723
12,306,1,0,2,0,0,1,0,0,15006,1,3,0,3,223861
3,307,0,0,0,0,0,0,0,0,15006,0,3,0,4,278366
5,308,0,0,0,0,0,0,0,0,15006,0,3,0,6,70138
8,309,0,0,0,0,0,0,0,0,15006,0,3,0,7,78613
13,310,0,0,1,0,0,0,0,0,15006,0,3,0,9,78614
6,311,0,0,2,0,0,1,0,0,15006,1,3,0,11,262349
97,312,0,0,6,0,0,0,0,0,15006,1,3,0,12,78621
7,313,0,0,4,0,0,0,0,0,15006,1,3,0,16,238726
10,314,0,0,1,0,0,0,0,0,15006,0,3,0,18,240572
25,315,0,0,1,0,0,0,0,0,15006,0,3,0,25,268065
18,316,0,0,0,0,0,0,0,0,15006,0,3,0,28,259644
17,317,0,0,0,0,0,0,0,0,15006,0,3,0,28,78612
14,318,0,0,1,0,0,0,0,0,15006,0,3,0,28,262558
4,319,0,0,1,0,0,0,0,0,15006,0,3,0,28,265601
23,320,0,0,0,0,0,0,0,0,15006,0,3,0,28,78611
11,321,0,0,0,0,0,0,0,0,15006,0,3,0,28,234991
16,322,1,0,3,0,0,3,0,0,15006,1,3,0,28,75278
98,323,0,0,4,0,0,0,0,0,15006,1,3,0,28,243789
19,324,0,0,1,0,0,0,0,0,15006,0,3,0,28,266763
42,325,0,0,0,0,0,0,0,0,15006,0,3,0,28,259166
9,326,0,0,1,0,0,0,0,0,15006,0,3,0,28,247834
21,327,0,0,1,0,0,0,0,0,15006,0,3,0,28,278360
24,328,0,0,0,0,0,0,0,0,15006,0,3,0,29,234832
20,329,0,0,0,0,0,0,0,0,15006,0,3,0,29,78615
15,330,0,0,0,0,0,0,0,0,15006,0,3,0,29,79404
29,331,0,0,0,0,0,0,0,0,15006,0,3,0,29,78634
22,332,0,0,0,0,0,0,0,0,15006,0,3,0,29,81461
26,333,0,0,0,0,0,0,0,0,229,0,3,0,0,200059
54,334,0,0,0,0,0,0,0,0,229,0,3,0,3,252488
3,335,0,0,0,0,0,0,0,0,229,0,3,0,4,269397
55,336,0,0,0,0,0,0,0,0,229,0,3,0,6,252489
6,337,0,0,0,0,0,0,0,0,229,0,3,0,7,212678
74,338,0,0,3,0,0,0,0,0,229,1,3,0,9,73921
24,339,0,0,0,0,0,0,0,0,229,0,3,0,11,261776
10,340,0,0,0,0,0,0,0,0,229,0,3,0,12,246419
83,341,0,0,4,0,0,0,0,0,229,1,3,0,16,263558
11,342,1,1,16,0,0,1,0,0,229,1,3,0,18,203486
91,343,0,0,7,0,0,0,0,0,229,1,3,0,25,251156
9,344,1,0,8,0,0,1,0,0,229,1,3,0,28,78261
29,345,0,0,2,0,0,0,0,0,229,0,3,0,28,260162
13,346,0,0,3,0,0,0,0,0,229,1,3,0,28,260398
93,347,0,0,0,0,0,0,0,0,229,0,3,0,28,250725
32,348,0,0,0,0,0,0,0,0,229,0,3,0,28,269955
14,349,0,0,0,0,0,0,0,0,229,0,3,0,28,247122
77,350,0,0,0,0,0,0,0,0,229,0,3,0,28,74403
70,351,0,0,0,0,0,0,0,0,229,0,3,0,28,252936
7,352,0,0,1,0,0,0,0,0,229,0,3,0,28,278107
79,353,0,0,0,0,0,0,0,0,229,0,3,0,28,75658
21,354,0,0,2,0,0,0,0,0,229,0,3,0,28,246289
15,355,0,0,0,0,0,0,0,0,229,0,3,0,28,70482
23,356,0,0,0,0,0,0,0,0,229,0,3,0,29,191627
22,357,0,0,0,0,0,0,0,0,229,0,3,0,29,73291
25,358,0,0,0,0,0,0,0,0,229,0,3,0,29,208509
73,359,0,0,0,0,0,0,0,0,229,0,3,0,29,239594
78,360,0,0,0,0,0,0,0,0,229,0,3,0,29,75197
2,361,0,0,0,0,0,0,0,0,229,0,3,0,29,279114
4,362,0,0,0,0,0,0,0,0,229,0,3,0,29,71897
99,363,0,0,2,0,0,0,0,0,229,0,3,0,29,77541
41,364,0,0,0,0,0,0,0,0,230,0,3,0,0,255039
4,365,0,0,1,0,0,0,0,0,230,0,3,0,4,80596
25,366,0,0,2,0,0,0,0,0,230,0,3,0,5,247019
33,367,0,0,0,0,0,0,0,0,230,0,3,0,6,260931
7,368,0,0,2,0,0,0,0,0,230,0,3,0,23,225653
24,369,0,0,5,0,0,0,0,0,230,1,3,0,12,251189
16,370,0,0,5,0,0,0,0,0,230,1,3,0,13,70689
8,371,0,0,0,0,0,0,0,0,230,0,3,0,15,199652
5,372,0,0,0,0,0,0,0,0,230,0,3,0,16,242003
9,373,0,0,2,0,0,0,0,0,230,0,3,0,27,272303
18,374,0,0,10,0,0,0,0,0,230,1,3,0,25,226537
19,375,0,0,0,0,0,0,0,0,230,0,3,0,28,79458
10,376,0,0,0,0,0,0,0,0,230,0,3,0,28,277465
20,377,0,0,1,0,0,0,0,0,230,0,3,0,28,276305
23,378,0,0,0,0,0,0,0,0,230,0,3,0,28,225720
81,379,0,0,0,0,0,0,0,0,230,0,3,0,28,278554
92,380,0,0,0,0,0,0,0,0,230,0,3,0,28,77626
34,381,0,0,0,0,0,0,0,0,230,0,3,0,28,278789
43,382,0,0,0,0,0,0,0,0,230,0,3,0,28,70941
22,383,0,0,4,0,0,0,0,0,230,1,3,0,28,74313
17,384,0,0,0,0,0,0,0,0,230,0,3,0,28,74970
21,385,0,0,0,0,0,0,0,0,230,0,3,0,28,74450
15,386,0,0,0,0,0,0,0,0,230,0,3,0,28,188202
30,387,0,0,3,0,0,0,0,0,230,0,3,0,29,256944
79,388,0,0,0,0,0,0,0,0,230,0,3,0,29,74372
14,389,0,0,4,0,0,1,0,0,230,1,3,0,29,256199
76,390,0,0,0,0,0,0,0,0,230,0,3,0,29,77625
3,391,0,0,0,0,0,0,0,0,230,0,3,0,29,210828
77,392,0,0,0,0,0,0,0,0,230,0,3,0,29,279005
2,393,0,0,0,0,0,0,0,0,230,0,3,0,29,273537
11,394,0,0,0,0,0,0,0,0,230,0,3,0,29,195065
70,395,0,0,0,0,0,0,0,0,230,0,3,0,29,84372
56,396,0,0,0,0,0,0,0,0,230,0,3,0,29,279176
78,397,0,0,0,0,0,0,0,0,230,0,3,0,29,82136
99,398,0,0,0,0,0,0,0,0,230,0,3,0,29,85265
29,399,0,0,0,0,0,0,0,0,231,0,3,0,0,222263
64,400,2,0,2,0,0,2,0,0,231,0,3,0,3,275050
4,401,0,0,4,0,0,0,0,0,231,0,3,0,4,268611
44,402,1,0,6,0,0,1,0,0,231,1,3,0,6,212204
65,403,0,0,2,0,0,0,0,0,231,0,3,0,7,71305
9,404,0,0,5,0,0,0,0,0,231,0,3,0,23,277426
25,405,0,0,4,0,0,0,0,0,231,0,3,0,13,278318
15,406,0,0,1,0,0,0,0,0,231,0,3,0,14,262880
20,407,0,0,7,0,0,0,0,0,231,1,3,0,15,200155
67,408,0,0,0,0,0,0,0,0,231,0,3,0,27,276256
7,409,1,1,17,0,1,2,0,0,231,1,3,0,25,266895
10,410,0,0,2,0,0,0,0,0,231,0,3,0,28,238235
41,411,0,0,0,0,0,0,0,0,231,0,3,0,28,259586
62,412,0,0,0,0,0,0,0,0,231,0,3,0,28,268618
