playerid_key,player_name,current_teamid,current_teamname,penalties,skillmoves,accessorycolourcode2,tattoohead,shoecolorcode1,tattooleftleg,hairtypecode,longshots,standingtackle,skintypecode,volleys,role2,gender,role1,gkhandling,headassetid,finishingcode1,gkglovetypecode,preferredposition6,commonnameid,tattooback,role3,tattooleftarm,eyebrowcode,headclasscode,tattoorightleg,undershortstyle,lipcolor,finishingcode2,preferredfoot,muscularitycode,ballcontrol,usercaneditname,shohan,preferredposition2,sprintspeed,hairstylecode,preferredposition3,iscustomized,icontrait1,tattoofront,headtypecode,skillmoveslikelihood,shoedesigncode,slidingtackle,icontrait2,lastnameid,agility,gksavetype,defensiveawareness,acceleration,runstylecode,overallrating,jerseysleevelengthcode,jumping,avatarpomid,preferredposition7,freekickaccuracy,playerjerseynameid,birthdate,internationalrep,stamina,positioning,reactions,curve,tattoorightarm,preferredposition4,runningcode1,vision,eyecolorcode,facepsdlayer0,defspe,weakfootabilitytypecode,headingaccuracy,pacdiv,accessorycolourcode3,accessorycolourcode4,paskic,accessorycode2,gkreflexes,skintonecode,nationality,skinsurfacepack,skinmakeup,emotion,accessorycode1,role4,phypos,personality,hasseasonaljersey,smallsidedshoetypecode,aggression,trait2,modifier,animfreekickstartposcode,composure,trait1,longpassing,accessorycolourcode1,gkkicking,isretiring,jerseyfit,eyedetail,facepsdlayer1,facialhaircolorcode,jerseystylecode,potential,sideburnscode,dribbling,socklengthcode,animpenaltiesstartposcode,shoecolorcode2,strength,accessorycode4,runningcode2,shotpower,facialhairtypecode,balance,headvariation,contractvaliduntil,faceposerpreset,gkkickstyle,preferredposition5,weight,firstnameid,sockstylecode,shoetypecode,haircolorcode,shortpassing,playerjointeamdate,crossing,interceptions,skincomplexion,preferredposition1,shortstyle,finishing,bodytypecode,gkdiving,role5,accessorycode3,gkpositioning,playerid,hashighqualityhead,height,driref
69986,,-1,,64,1,0,0,30,0,548,48,18,0,45,0,0,41,14,69986,0,0,-1,0,0,0,0,1450101,1,0,0,0,0,1,0,45,0,52,-1,74,0,-1,0,0,0,1010,1,0,13,0,25392,52,0,16,58,0,51,0,39,0,-1,33,25392,153493,1,52,47,52,36,0,-1,0,42,9,0,18,3,44,67,0,0,36,0,6,9,93,220101,0,3,0,0,43,3,3,501,25,0,0,0,44,0,27,0,14,0,0,2,0,21,1,59,0,50,0,0,31,48,0,0,52,0,62,0,2026,0,0,-1,73,31427,1,58,0,42,161164,31,16,10,25,0,55,5,5,0,0,10,69986,0,185,49
69987,,-1,,53,2,1,0,30,0,1070,67,48,0,52,24,0,23,6,69987,0,0,-1,0,0,27,0,2150401,1,0,0,0,0,1,0,66,0,64,16,69,0,23,0,0,0,529,2,0,45,0,29019,73,0,38,72,0,66,0,56,0,-1,64,29019,153870,1,73,62,60,69,0,-1,0,62,3,0,40,3,40,70,0,0,64,16,11,4,21,224001,0,3,8,0,59,4,3,501,42,0,1,0,64,0,64,0,12,0,0,2,0,0,1,74,0,66,2,0,31,59,0,0,70,35,70,0,2027,0,0,-1,78,30865,1,80,3,67,161369,62,28,3,12,0,64,2,10,0,0,10,69987,0,177,67
69988,,-1,,46,1,0,0,30,0,284,64,74,0,34,19,0,18,6,69988,0,0,-1,44019,0,14,0,30103,1,0,0,0,0,1,0,70,0,61,10,70,0,-1,0,0,0,1501,1,0,70,0,44018,66,0,68,70,0,68,0,58,0,-1,42,44019,151108,1,72,68,54,40,0,-1,0,73,9,0,70,4,65,70,0,0,65,0,13,3,54,223101,0,4,0,0,56,4,0,501,65,0,0,0,55,0,65,0,9,0,0,2,0,20,1,68,0,62,0,0,31,44,0,0,63,36,75,0,2028,0,0,-1,79,14131,1,74,3,72,161882,58,67,3,14,0,63,2,9,0,0,14,69988,0,176,65
69992,,-1,,65,2,0,0,30,0,1283,60,22,0,64,0,0,42,14,69992,0,0,-1,0,0,0,0,60201,1,0,0,0,0,1,0,68,0,66,-1,73,0,-1,0,0,0,12,1,0,15,0,22388,63,0,20,68,0,68,0,78,0,-1,54,22388,154533,1,70,66,67,47,0,-1,0,54,2,0,25,4,70,70,1,0,49,9,9,2,51,223101,0,3,8,0,75,4,0,501,69,0,0,0,62,0,38,0,11,0,0,2,0,3,1,81,0,67,2,0,31,79,0,0,72,0,59,0,2028,0,0,-1,85,25188,1,378,3,56,161164,43,22,2,25,0,69,2,12,0,16,15,69992,0,184,65
69996,,-1,,47,1,0,0,30,0,184,45,63,0,41,26,0,5,6,69996,0,0,-1,0,0,0,0,60000,1,0,0,0,0,1,0,63,0,55,12,65,0,-1,0,0,0,2004,1,0,60,0,44020,60,0,58,71,0,65,0,60,0,-1,45,44020,153531,1,76,54,58,50,0,-1,0,55,5,0,60,3,56,67,0,0,58,0,7,2,18,223101,0,3,0,0,56,3,3,503,46,0,2,0,58,0,57,0,5,0,0,0,0,5,1,71,0,66,0,0,31,52,0,0,57,27,78,0,2028,0,0,-1,70,3003,1,172,5,62,161698,65,61,1,3,0,63,2,14,0,0,9,69996,0,177,64
69997,,-1,,42,2,0,0,30,0,1082,64,77,0,66,0,0,18,9,69997,0,0,-1,0,0,0,0,60101,1,0,0,0,0,1,0,79,0,61,10,72,0,-1,0,0,0,1021,1,0,71,0,3038,72,0,62,72,0,74,0,70,0,-1,44,123,154195,1,90,69,69,56,0,-1,0,71,9,0,68,2,56,71,0,0,69,0,13,10,103,220101,0,3,24,0,74,3,0,503,71,0,0,0,74,0,72,0,5,0,0,2,0,21,1,82,0,73,0,0,31,69,0,0,70,0,75,0,2031,0,0,-1,68,2734,1,77,21,80,161164,62,67,10,14,0,57,2,14,0,0,10,69997,0,173,75
70004,,-1,,59,2,0,0,30,0,643,72,69,0,59,43,0,18,10,70004,0,0,-1,0,0,0,0,60201,0,0,0,0,0,2,0,83,0,73,25,74,0,10,0,0,0,1016,2,0,55,0,24363,75,0,60,76,0,77,0,63,0,-1,55,24363,154713,1,77,81,76,74,0,-1,0,76,3,4,63,5,52,75,0,0,73,0,6,6,18,224001,0,3,7,0,60,3,3,501,58,0,0,0,78,16777216,74,0,10,0,2,2,1,0,1,86,0,78,0,0,31,54,0,0,81,0,70,0,2027,0,0,-1,69,33367,1,58,0,80,161164,64,71,6,14,0,78,1,5,0,0,6,70004,1,183,78
70005,,-1,,58,2,0,0,30,0,157,53,57,0,43,29,0,27,9,70005,0,0,-1,0,0,0,0,60101,1,0,0,0,0,1,0,72,0,54,27,76,0,-1,0,0,0,1541,2,0,45,0,4318,76,0,50,76,0,69,0,57,0,-1,49,4318,154252,1,81,56,64,57,0,-1,0,66,8,0,50,3,49,74,0,0,63,0,12,2,18,223101,0,3,0,0,58,3,3,500,51,0,1,0,69,0,61,0,9,0,0,2,0,6,1,78,0,73,1,0,31,50,0,0,45,29,69,0,2029,0,0,-1,63,2322,1,98,6,68,161382,64,45,1,16,0,59,1,6,0,0,7,70005,0,176,71
70006,,-1,,59,2,0,0,30,0,689,63,21,0,56,0,0,41,9,70006,0,0,-1,0,0,0,0,60101,1,0,0,0,0,1,0,60,0,62,-1,73,0,-1,0,0,0,1508,1,0,19,0,44021,61,0,17,72,0,62,0,68,0,-1,45,44021,154405,1,54,61,48,50,0,-1,0,51,9,0,22,3,61,71,0,0,51,0,9,4,18,223101,0,3,0,0,56,4,3,501,40,0,0,0,58,0,48,0,11,0,0,2,0,0,1,75,0,58,0,0,31,64,0,0,67,0,63,0,2027,0,0,-1,75,25486,1,102,0,60,161760,46,14,4,25,0,62,2,15,0,0,6,70006,0,183,58
70007,,-1,,60,1,0,0,30,0,645,47,72,0,31,49,0,16,13,70007,0,0,-1,0,0,18,0,60101,1,0,0,0,0,1,0,67,0,51,14,67,0,5,0,0,0,2002,1,0,69,0,2034,56,0,70,64,0,72,0,79,0,-1,42,2034,154010,1,80,38,68,55,0,-1,0,67,4,0,70,3,67,66,0,0,64,0,6,2,13,223101,0,3,0,13,80,2,3,502,70,0,1,0,66,0,68,0,8,0,0,2,0,20,1,79,0,60,1,0,31,85,0,0,58,0,56,0,2029,0,0,-1,76,34032,1,43,3,72,161546,54,71,2,10,0,52,5,14,0,0,14,70007,0,190,62
70011,,-1,,46,2,0,0,30,0,543,53,69,0,49,0,0,18,7,70011,0,0,-1,0,0,0,0,60101,1,0,0,0,0,1,0,75,0,54,10,69,0,-1,0,0,0,1037,2,0,54,0,12094,77,0,59,71,0,68,0,60,0,-1,45,12094,154009,1,69,60,66,56,0,-1,0,67,9,0,62,3,54,70,0,0,62,0,12,9,108,220101,0,3,0,0,60,4,3,503,64,0,0,0,68,0,66,0,6,0,2,2,0,21,1,76,0,70,0,0,31,54,0,0,58,35,65,0,2029,0,0,-1,66,39429,1,123,21,71,160977,49,66,9,14,0,55,1,7,0,0,11,70011,0,180,71
70012,,-1,,40,1,0,0,30,0,680,42,71,0,39,18,0,9,13,70012,0,0,-1,0,0,0,0,60101,1,0,0,0,0,2,0,71,0,45,14,78,0,16,0,0,0,1016,1,0,68,0,32705,77,0,64,75,0,70,3,69,0,-1,39,32705,154634,1,72,55,66,60,0,-1,0,56,9,0,64,2,55,77,0,0,61,0,6,10,18,220101,0,3,0,0,64,4,3,501,61,0,2,0,65,0,57,0,7,0,2,2,0,21,1,82,0,67,0,0,31,63,0,0,53,0,73,0,2030,0,0,-1,75,27009,1,155,21,67,161698,68,63,10,7,0,43,2,9,0,0,10,70012,0,178,69
70014,,-1,,54,2,0,0,30,0,223,49,40,0,39,0,0,31,9,70014,0,0,-1,0,0,0,0,60101,1,0,0,0,0,2,0,69,0,49,16,74,0,14,0,0,0,1502,2,0,34,0,40458,78,0,34,77,0,63,0,57,0,-1,48,40458,154069,1,67,55,57,66,0,-1,0,65,9,0,36,2,41,73,0,0,57,0,9,4,97,223101,0,3,0,0,57,2,0,503,47,0,0,0,63,0,61,0,6,0,1,2,0,0,1,76,0,68,1,0,31,55,0,0,48,29,80,0,2027,0,0,-1,68,10249,1,84,0,61,160786,41,37,4,18,0,51,2,11,0,0,14,70014,0,175,68
70015,,-1,,37,1,0,0,30,0,236,19,65,0,25,0,0,11,14,70015,0,0,-1,0,0,0,0,60101,1,0,0,0,0,1,0,59,0,27,-1,59,0,-1,0,0,0,4,1,0,65,0,44022,53,0,60,55,0,62,0,68,0,-1,25,44022,154031,1,62,30,57,29,0,-1,0,37,5,0,61,3,60,56,0,0,45,0,8,2,18,223101,0,3,0,0,65,3,3,503,59,0,0,0,61,0,54,0,14,0,2,2,0,20,1,74,0,47,1,0,31,70,0,0,37,35,56,0,2027,0,0,-1,80,27068,1,321,0,62,161164,26,59,2,5,0,27,4,13,0,0,9,70015,0,186,51
70017,,-1,,51,3,0,0,30,0,1082,63,41,0,59,25,0,23,7,70017,0,0,-1,0,0,27,0,60101,1,0,0,0,0,2,0,76,0,62,16,63,0,23,0,0,0,2511,3,0,46,0,39414,91,0,31,70,0,71,0,43,0,-1,54,39414,154537,1,58,68,65,76,0,-1,0,69,9,0,40,2,43,66,0,0,67,0,14,5,129,223101,0,3,16,0,46,4,3,501,57,0,1,0,73,64,63,1,10,0,0,2,0,0,1,83,0,81,1,0,31,37,0,0,63,35,83,0,2030,0,0,-1,59,13141,1,102,0,72,161898,67,48,5,12,0,63,1,9,0,0,11,70017,0,173,79
70018,,-1,,31,1,0,0,30,0,691,28,67,0,25,0,0,7,12,70018,0,0,-1,0,0,0,0,60201,1,0,0,0,0,2,0,47,0,29,-1,63,0,-1,0,0,0,1009,1,0,61,0,22141,59,0,74,66,0,63,0,65,0,-1,32,7573,154392,1,55,35,55,43,0,-1,0,43,9,0,68,3,65,63,0,0,49,0,9,8,18,223101,0,3,0,0,56,2,3,501,56,0,2,0,42,0,41,0,7,0,0,2,0,21,1,77,0,57,1,0,31,57,0,0,27,257,77,0,2028,0,0,-1,65,7573,1,169,0,60,161698,51,66,8,7,0,34,1,10,0,0,14,70018,0,184,53
70020,,-1,,45,2,0,0,30,0,5,59,73,0,46,14,0,18,8,70020,0,0,-1,0,0,0,0,60202,1,0,0,0,0,1,0,73,0,57,10,69,0,-1,0,0,0,1004,1,0,68,0,1935,75,0,64,67,0,72,0,67,0,-1,45,1935,154594,1,70,62,72,62,0,-1,0,73,9,0,68,3,59,68,0,0,69,0,12,7,18,220101,0,2,8,0,67,3,3,501,67,0,0,0,73,0,69,0,13,0,0,2,0,3,1,79,0,73,1,0,31,66,0,0,60,16,75,0,2030,0,0,-1,65,24173,1,40,3,79,161709,57,72,6,14,0,62,1,5,0,0,12,70020,0,177,73
70022,,-1,,47,2,0,0,30,0,240,47,58,0,48,29,0,31,13,70022,0,0,-1,0,0,25,0,30401,1,0,0,0,0,2,0,71,0,53,16,75,0,12,0,0,0,1042,1,0,56,0,22452,91,0,47,79,0,68,0,44,0,-1,46,22452,153496,1,70,60,60,70,0,14,0,66,9,0,51,2,31,76,0,0,64,0,12,8,214,220101,0,3,16,0,48,4,3,501,56,256,0,0,68,0,69,1,15,0,0,2,0,21,1,76,0,76,1,0,31,35,0,0,53,257,92,0,2027,0,0,-1,60,30902,1,34,21,69,160967,56,56,9,18,0,57,7,13,0,0,11,70022,0,170,74
70025,,-1,,38,1,0,0,30,0,60,22,70,0,25,0,0,11,8,70025,0,0,-1,0,0,0,0,2330401,1,0,0,0,0,1,0,62,0,29,-1,62,0,-1,0,0,0,1021,1,0,64,0,3435,57,0,68,62,0,64,0,63,0,-1,31,3435,154357,1,50,33,55,38,0,-1,0,37,9,0,64,2,51,62,0,0,50,0,10,9,18,220101,0,3,9,0,62,3,3,501,60,0,0,0,53,0,51,0,10,0,0,2,0,21,1,78,0,39,0,0,31,70,0,0,41,0,59,0,2027,0,0,-1,75,33924,1,210,21,64,161163,48,62,10,5,0,27,5,11,0,0,6,70025,0,188,49
70026,,-1,,57,2,0,0,30,0,183,61,28,0,62,27,0,23,8,70026,0,0,-1,0,0,0,0,2290401,1,0,0,0,0,1,0,64,0,63,16,77,0,23,0,0,0,44,2,0,20,0,2810,76,0,23,83,0,66,3,69,0,-1,53,2810,154113,1,69,63,63,51,0,-1,0,63,9,0,26,5,57,77,0,0,58,0,10,2,50,220101,0,3,0,0,59,3,3,501,54,0,1,0,61,0,48,0,13,0,1,2,0,3,1,76,0,67,2,0,31,57,0,0,67,0,75,0,2030,0,0,-1,72,7341,1,40,3,61,160952,61,20,2,12,0,65,2,10,0,0,7,70026,0,179,66
70029,,-1,,43,2,0,0,30,0,109,40,58,0,31,9,0,5,14,70029,0,0,-1,0,0,0,0,30000,1,0,0,0,0,1,0,59,0,38,7,76,0,12,0,0,0,1004,3,0,57,0,27908,68,0,57,74,0,62,0,68,0,-1,39,27908,154161,1,65,50,56,55,0,-1,0,52,9,0,56,3,47,75,0,0,54,0,7,10,21,220001,0,3,0,0,67,2,0,501,55,0,2,0,61,0,51,0,14,0,0,2,0,0,1,68,0,64,0,0,31,73,0,0,46,0,62,0,2031,0,0,-1,85,44023,1,378,0,57,161333,60,58,9,3,0,34,4,6,0,0,11,70029,0,191,61
70030,,-1,,52,2,0,0,30,0,643,57,48,0,48,0,0,31,10,70030,0,0,-1,0,0,0,0,2210000,1,0,0,0,0,1,0,61,0,55,14,71,0,-1,0,0,0,44,2,0,39,0,466,73,0,45,73,0,61,3,67,0,-1,50,466,154000,1,70,57,57,55,0,-1,0,61,6,0,46,3,55,72,0,0,57,0,12,1,14,223101,0,3,0,0,64,2,3,501,49,0,0,0,55,0,58,0,10,0,0,2,0,0,1,70,0,61,2,0,31,67,0,0,59,0,69,0,2026,0,0,-1,77,17746,1,124,0,60,160452,50,45,1,18,0,57,1,11,0,0,12,70030,0,178,62
70035,,-1,,65,2,0,0,30,0,2,55,28,0,58,0,0,27,7,70035,0,0,-1,0,0,0,0,40000,1,0,0,0,0,1,0,65,0,62,12,77,0,27,0,0,0,1036,2,0,39,0,14564,83,0,25,84,0,64,0,65,0,-1,59,14564,153797,1,52,56,57,68,0,-1,0,55,9,0,29,3,51,80,0,0,58,0,13,7,14,223101,0,2,0,0,49,2,3,503,33,0,1,0,67,0,54,0,9,0,1,2,0,0,1,76,0,70,2,0,31,54,0,0,75,257,76,0,2028,0,0,-1,74,24964,1,223,0,61,161372,59,23,8,16,0,60,2,7,0,0,10,70035,0,177,69
70037,,-1,,67,2,0,0,30,0,299,62,52,0,57,0,0,31,9,70037,0,0,-1,0,0,0,0,2120000,1,0,0,0,0,2,0,72,0,64,25,67,0,14,0,0,0,1039,2,0,55,0,28168,73,0,53,65,0,68,0,65,0,-1,55,28168,155060,1,64,64,60,60,0,-1,0,63,3,0,48,4,55,66,0,0,63,0,11,7,21,223101,0,3,0,0,58,3,3,503,45,0,0,0,65,0,67,0,15,0,0,2,0,0,1,86,0,73,1,1,31,60,0,0,62,16,66,0,2027,0,0,-1,72,12226,1,153,0,71,161391,57,32,7,18,0,70,4,6,0,0,12,70037,0,186,71
70038,,-1,,72,2,0,0,30,0,6,59,30,0,61,44,0,41,12,70038,0,0,-1,0,0,0,0,60201,1,0,0,0,0,2,0,66,0,67,-1,69,0,-1,0,0,0,3002,2,0,22,0,10296,52,0,31,68,0,68,0,81,0,-1,38,10296,154599,1,62,67,64,42,0,-1,0,51,3,0,32,3,74,69,0,0,53,0,11,5,12,223101,0,2,0,0,69,4,3,501,61,0,0,0,64,0,44,0,10,0,0,2,0,0,1,80,0,65,0,0,31,79,0,0,66,257,45,0,2028,0,0,-1,84,39367,1,81,0,63,161914,55,25,5,25,0,73,4,8,0,0,13,70038,0,193,62
70045,,-1,,57,2,0,0,30,0,631,51,23,1,58,0,0,41,11,70045,0,0,-1,0,0,0,0,2290401,1,0,0,0,0,1,0,64,0,60,27,60,0,-1,0,0,0,2013,1,0,23,0,26107,49,0,22,55,0,61,0,64,0,-1,38,26107,153933,1,62,64,59,36,0,-1,0,51,4,0,25,3,62,56,0,0,43,0,8,1,95,223101,0,3,16,0,61,2,3,503,50,0,0,0,50,0,38,1,7,0,0,2,0,19,1,71,0,56,0,0,31,67,0,0,62,0,49,0,2030,0,0,-1,80,16880,1,84,5,48,161158,37,22,1,25,0,64,4,9,0,0,9,70045,0,188,57
70049,,-1,,60,2,0,0,30,0,1082,65,32,0,68,0,0,41,10,70049,0,0,-1,0,0,0,0,2310202,1,0,0,0,0,1,0,65,0,67,-1,71,0,-1,0,0,0,1021,2,0,29,0,26146,72,0,26,75,0,68,0,76,0,-1,44,19654,153485,1,51,67,66,59,0,-1,0,54,9,0,33,3,67,73,0,0,54,0,5,8,147,220101,0,2,0,0,63,4,3,501,64,0,0,0,58,0,45,0,6,0,0,2,0,0,1,75,0,68,2,0,31,69,0,0,71,16,65,0,2028,0,0,-1,76,19654,1,72,21,60,161213,53,31,3,25,0,68,1,12,0,0,14,70049,0,180,65
70053,,-1,,70,1,0,0,30,0,65,53,64,0,46,14,0,18,7,70053,0,0,-1,0,0,0,0,60101,1,0,0,0,0,1,0,68,0,57,10,60,0,-1,0,0,0,6,2,0,58,0,25602,67,0,68,65,0,66,0,65,0,-1,57,25602,151326,1,74,62,62,61,0,-1,0,63,9,0,65,3,60,62,0,0,65,0,13,4,52,223101,0,4,0,0,61,3,0,501,53,0,0,0,67,65536,69,0,5,0,0,2,0,3,1,66,0,67,0,0,31,58,0,0,64,246,74,0,2028,0,0,-1,75,28559,1,85,3,70,161158,57,69,4,14,0,54,2,15,0,0,11,70053,0,171,67
